,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.03750215341502525,0.9506926866931771
C9-e003Coalescence-mGAM-p3,0.00124385393045487,0.997261809933619
D2-e004Assembly-mGAM-p7,0.038754491425111864,0.012125851967070278
B5-e004Assembly-mBHI-p3,0.7635673089335547,0.17327971588476823
C11-e003Coalescence-mBHI-p3,0.009020770505884707,0.9842303440391309
D11-e003Coalescence-mBHI-p5,0.003996737577494887,0.9911338086643989
C9-e003Coalescence-mGAM-p7,0.00087481470058854,0.9980860009970716
C8-e003Coalescence-mGAM-p7,1.0869573369576097e-05,0.9999676164340658
D10-e003Coalescence-mBHI-p3,0.0054401694423857954,0.9879503862869232
B2-e003Coalescence-mBHI-p3,0.04418652645769169,0.786
A8-e003Coalescence-mBHI-p3,0.9988398811890276,0.0004219055511032192
A4-e003Coalescence-mBHI-p7,0.03074484004419404,0.9659527943875686
B9-e003Coalescence-mGAM-p5,0.001354948733548401,0.9970286052966378
A4-e003Coalescence-mBHI-inoculumn-redo,0.514,0.46699999999999997
B3-e003Coalescence-mBHI-p3,0.005166035080933622,0.9887912446767555
D4-e003Coalescence-mBHI-p5,0.15175406616774642,0.8134116055517304
B5-e004Assembly-mBHI-p7,0.9738339323235659,0.008536083037841851
D4-e003Coalescence-mBHI-p3,0.10139424207053276,0.8719897887498642
C4-e003GlycerolRevival-mBHI-p2,0.008090289891100425,0.9888069021124462
G5-e004Assembly-epsilon-p3,0.9584478392075136,0.014917900440349812
C5-e004Assembly-mBHI-p3,0.8661225233551848,0.083256939229107
D10-e003Assembly-mGAM-p5,0.0012452253049341751,0.9982068318399134
B2-e003Assembly-mBHI-p5,0.8458503087941357,0.13882921814926918
B2-e003Coalescence-mBHI-p5,0.1103725140219133,0.8539342160534044
B8-e003Assembly-mGAM-p5,0.951252004475348,0.03791657234014229
F4-e004Assembly-epsilon-p5,0.625,0.035348006244492254
C4-e003Coalescence-mGAM-p7,3.622007692361463e-05,0.9998548047689588
B12-e003Coalescence-mBHI-p3,0.1274691882270756,0.8276866213557685
e004-inoculumn-fecal-AK,0.01652543957205479,0.004900381083506703
C8-e003Assembly-mGAM-p3,0.922213800249434,0.06751469698789248
C3-e003Coalescence-mGAM-p3,0.0008616654775126545,0.9981241236182219
B4-e003Assembly-mBHI-p5,0.032264129687443195,0.9653458446705646
D4-e004Assembly-mGAM-p5,0.9899109816413778,0.002531553620126547
D3-e003Coalescence-Inoculumn-mBHI,0.006183687068681335,0.9869839691125125
C8-e003Assembly-mGAM-p5,0.9181402044911453,0.07108097867457057
C3-e003Coalescence-mBHI-p7,0.007359565359172388,0.9841490772789792
D11-e003Coalescence-mGAM-p5,0.0023618289259683648,0.9947393084170659
A11-e003Coalescence-mGAM-p7,0.029644152043887855,0.9580983263109982
B8-e003Coalescence-mBHI-p5,0.011200904571604324,0.9775372131852014
B10-e003Assembly-mGAM-p5,0.0031905265375081807,0.996236184126064
C2-e003Coalescence-mGAM-p7,1.6988787862848333e-05,0.9999633225915704
D3-e003Coalescence-mBHI-p5,0.09194801939656232,0.8661317989213028
B11-e003Coalescence-mGAM-p3,0.0019931612724836396,0.969
C4-e003Coalescence-mBHI-inoculumn-redo,0.009901983122522542,0.9889425176427138
B5-e003Assembly-mBHI-p5,0.05675694897071884,0.9181226483535083
D2-e003Coalescence-mBHI-p5,0.018696102502442264,0.9666829396327294
D8-e003Assembly-mGAM-p5,0.9511444247059979,0.042010320460526725
D5-e003Coalescence-mGAM-p5,0.004383755109811522,0.9902996984846265
B5-e003Coalescence-mBHI-p5,0.06608849739253132,0.9002105374989893
D5-e003Coalescence-mBHI-p7,0.028132301427892907,0.9459494842605253
C9-e003Coalescence-mBHI-p5,0.021401777150181735,0.9555606884118083
A5-e003Coalescence-mGAM-p3,0.005618945136572986,0.987856735947649
A2-e003Coalescence-Inoculumn-mGAM,0.9999299824241118,3.1646158467432205e-05
E5-e004Assembly-mGAM-p5,0.9970621071648793,0.0008876606292668261
D8-e003Coalescence-mGAM-p5,0.009627004768297398,0.9862845430526633
A12-e003Coalescence-mGAM-p3,0.021882692317472138,0.919
C2-e003Coalescence-mBHI-p3,0.08874867318105803,0.8983014344828505
C4-e004Assembly-mBHI-p5,0.8363757041146485,0.0830783031392084
D9-e003Coalescence-mGAM-p7,0.0056915725778368155,0.9878621551478824
D4-e003Coalescence-mBHI-p7,0.01966017672824236,0.9632079100584496
D8-e003Assembly-mGAM-p3,0.8335904148224423,0.15408114897190298
E4-e004Assembly-mGAM-p7,0.9814697727859736,0.004630361953926176
E3-e004Assembly-mGAM-p3,0.006005754854542837,0.9874518140462843
D2-e004Assembly-mGAM-p3,0.049831097451951696,0.01682032486150053
B10-e003Coalescence-mGAM-p3,0.0014697472157729063,0.9968149013741012
A9-e003Coalescence-mGAM-p7,0.008284689709924756,0.9825146815820727
D5-e004Assembly-mGAM-p5,0.8766768619397823,0.07238276591169115
B5-e003Coalescence-Inoculumn-mGAM,0.0036457333828210483,0.953
D10-e003Coalescence-mBHI-p5,0.011508635506765655,0.975768967176003
D5-e003Coalescence-mBHI-p3,0.01754589122008421,0.9640546425706444
D9-e003Coalescence-mGAM-p5,0.004723936490459604,0.951
C9-e003Coalescence-mBHI-p3,0.009119835768304389,0.9806014233313527
D10-e003Coalescence-mGAM-p5,0.00048654355683812523,0.9988619696799098
C8-e003Coalescence-mBHI-p7,0.029494523417277378,0.9681344656816812
B11-e003Assembly-mGAM-p5,0.008500210031808243,0.9814940914918112
B4-e003Coalescence-mGAM-p5,0.0019981326506557867,0.9958038301415029
D4-e003Coalescence-mGAM-p5,0.001756033048741118,0.9960890189823358
B5-e003Coalescence-mGAM-p5,0.012706780341635804,0.9733489459460101
BB-Fecal,0.11153553969869115,0.06295407776003722
B5-e003Coalescence-Inoculumn-mBHI,0.014445106627231476,0.9692450754347989
C2-e003Coalescence-mGAM-p3,0.003093837813907247,0.9960148519709087
B5-e003Coalescence-mGAM-p7,0.006655832440937633,0.9856633376706939
D8-e003Coalescence-mBHI-p5,0.118,0.8240000000000001
E5-e004Assembly-mGAM-p7,0.9943601655956891,0.001689182154642375
C10-e003Assembly-mGAM-p3,0.00926095528643064,0.9889507308577814
B10-e003Coalescence-mBHI-p5,0.025204761610022088,0.9499460804279336
D5-e003Coalescence-Inoculumn-mGAM,0.001684843001597976,0.9962286914349316
B5-e003Coalescence-mBHI-p3,0.029218545759581556,0.9456713375485499
G4-e004Assembly-epsilon-p5,0.9381739681262691,0.01390251287959682
C4-e003Coalescence-mGAM-p5,1.1207966176320496e-05,0.9999763596213701
C5-e003Coalescence-mGAM-p7,0.002027360215330482,0.9954563632074203
