,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,9131,19751
C9-e003Coalescence-mGAM-p3,12101,27128
D2-e004Assembly-mGAM-p7,11454,26327
B5-e004Assembly-mBHI-p3,4333,10604
C11-e003Coalescence-mBHI-p3,11382,25376
D11-e003Coalescence-mBHI-p5,12060,26974
C9-e003Coalescence-mGAM-p7,12103,27135
C8-e003Coalescence-mGAM-p7,12092,27100
D10-e003Coalescence-mBHI-p3,11969,26746
B2-e003Coalescence-mBHI-p3,11491,25704
A8-e003Coalescence-mBHI-p3,11786,26903
A4-e003Coalescence-mBHI-p7,10087,22640
B9-e003Coalescence-mGAM-p5,12090,27096
A4-e003Coalescence-mBHI-inoculumn-redo,12092,27118
B3-e003Coalescence-mBHI-p3,12047,26959
D4-e003Coalescence-mBHI-p5,5176,10453
B5-e004Assembly-mBHI-p7,11535,26495
D4-e003Coalescence-mBHI-p3,6433,13349
C4-e003GlycerolRevival-mBHI-p2,11099,24359
G5-e004Assembly-epsilon-p3,11156,25780
C5-e004Assembly-mBHI-p3,7057,16814
D10-e003Assembly-mGAM-p5,11785,26229
B2-e003Assembly-mBHI-p5,4825,11887
B2-e003Coalescence-mBHI-p5,6830,15069
B8-e003Assembly-mGAM-p5,8180,20079
F4-e004Assembly-epsilon-p5,9489,22310
C4-e003Coalescence-mGAM-p7,12082,27082
B12-e003Coalescence-mBHI-p3,5866,11871
e004-inoculumn-fecal-AK,11684,26797
C8-e003Assembly-mGAM-p3,7066,16890
C3-e003Coalescence-mGAM-p3,12103,27133
B4-e003Assembly-mBHI-p5,9289,20515
D4-e004Assembly-mGAM-p5,11778,26876
D3-e003Coalescence-Inoculumn-mBHI,12084,27033
C8-e003Assembly-mGAM-p5,6776,16514
C3-e003Coalescence-mBHI-p7,12041,26908
D11-e003Coalescence-mGAM-p5,12087,27037
A11-e003Coalescence-mGAM-p7,11827,26484
B8-e003Coalescence-mBHI-p5,11945,26650
B10-e003Assembly-mGAM-p5,11520,25726
C2-e003Coalescence-mGAM-p7,12073,27072
D3-e003Coalescence-mBHI-p5,7689,15682
B11-e003Coalescence-mGAM-p3,12096,27116
C4-e003Coalescence-mBHI-inoculumn-redo,10939,24326
B5-e003Assembly-mBHI-p5,8752,18718
D2-e003Coalescence-mBHI-p5,11222,24982
D8-e003Assembly-mGAM-p5,8189,19413
D5-e003Coalescence-mGAM-p5,12052,26951
B5-e003Coalescence-mBHI-p5,8464,18127
D5-e003Coalescence-mBHI-p7,11171,24405
C9-e003Coalescence-mBHI-p5,11559,25665
A5-e003Coalescence-mGAM-p3,12017,26864
A2-e003Coalescence-Inoculumn-mGAM,12103,27136
E5-e004Assembly-mGAM-p5,11872,26992
