,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,7845,7455
C9-e003Coalescence-mGAM-p3,10321,10400
D2-e004Assembly-mGAM-p7,9882,9917
B5-e004Assembly-mBHI-p3,3857,3893
C11-e003Coalescence-mBHI-p3,9702,9772
D11-e003Coalescence-mBHI-p5,10292,10301
C9-e003Coalescence-mGAM-p7,10322,10400
C8-e003Coalescence-mGAM-p7,10317,10387
D10-e003Coalescence-mBHI-p3,10215,10257
B2-e003Coalescence-mBHI-p3,9823,10026
A8-e003Coalescence-mBHI-p3,10005,9969
A4-e003Coalescence-mBHI-p7,8934,8814
B9-e003Coalescence-mGAM-p5,10320,10398
A4-e003Coalescence-mBHI-inoculumn-redo,10274,10345
B3-e003Coalescence-mBHI-p3,10284,10385
D4-e003Coalescence-mBHI-p5,4247,3767
B5-e004Assembly-mBHI-p7,9837,9891
D4-e003Coalescence-mBHI-p3,5330,4786
C4-e003GlycerolRevival-mBHI-p2,9445,9410
G5-e004Assembly-epsilon-p3,9597,9626
C5-e004Assembly-mBHI-p3,6364,6190
D10-e003Assembly-mGAM-p5,10066,10105
B2-e003Assembly-mBHI-p5,4408,4325
B2-e003Coalescence-mBHI-p5,5843,6062
B8-e003Assembly-mGAM-p5,7452,7433
F4-e004Assembly-epsilon-p5,8423,8476
C4-e003Coalescence-mGAM-p7,10302,10384
B12-e003Coalescence-mBHI-p3,3768,3751
e004-inoculumn-fecal-AK,10053,10118
C8-e003Assembly-mGAM-p3,6532,6297
C3-e003Coalescence-mGAM-p3,10322,10400
B4-e003Assembly-mBHI-p5,7897,7883
D4-e004Assembly-mGAM-p5,10016,10163
D3-e003Coalescence-Inoculumn-mBHI,10307,10360
C8-e003Assembly-mGAM-p5,6066,6104
C3-e003Coalescence-mBHI-p7,10267,10351
D11-e003Coalescence-mGAM-p5,10306,10327
A11-e003Coalescence-mGAM-p7,10176,10116
B8-e003Coalescence-mBHI-p5,10183,10292
B10-e003Assembly-mGAM-p5,9811,9896
C2-e003Coalescence-mGAM-p7,10304,10376
D3-e003Coalescence-mBHI-p5,5303,5160
B11-e003Coalescence-mGAM-p3,10321,10400
C4-e003Coalescence-mBHI-inoculumn-redo,9370,9328
