,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,7615,15369
C9-e003Coalescence-mGAM-p3,9889,20709
D2-e004Assembly-mGAM-p7,9384,20124
B5-e004Assembly-mBHI-p3,3605,8300
C11-e003Coalescence-mBHI-p3,9402,19477
D11-e003Coalescence-mBHI-p5,9857,20607
C9-e003Coalescence-mGAM-p7,9890,20711
C8-e003Coalescence-mGAM-p7,9890,20711
D10-e003Coalescence-mBHI-p3,9806,20490
B2-e003Coalescence-mBHI-p3,9383,19743
A8-e003Coalescence-mBHI-p3,9622,20550
A4-e003Coalescence-mBHI-p7,8667,18192
B9-e003Coalescence-mGAM-p5,9883,20693
A4-e003Coalescence-mBHI-inoculumn-redo,9887,20707
B3-e003Coalescence-mBHI-p3,9861,20614
D4-e003Coalescence-mBHI-p5,4330,8289
B5-e004Assembly-mBHI-p7,9456,20267
D4-e003Coalescence-mBHI-p3,5387,10550
C4-e003GlycerolRevival-mBHI-p2,9151,18737
G5-e004Assembly-epsilon-p3,9172,19699
C5-e004Assembly-mBHI-p3,5790,12921
D10-e003Assembly-mGAM-p5,9705,20163
B2-e003Assembly-mBHI-p5,3992,9062
B2-e003Coalescence-mBHI-p5,5697,11810
B8-e003Assembly-mGAM-p5,6768,15413
F4-e004Assembly-epsilon-p5,7818,17162
C4-e003Coalescence-mGAM-p7,9890,20711
B12-e003Coalescence-mBHI-p3,4875,9664
e004-inoculumn-fecal-AK,9557,20468
C8-e003Assembly-mGAM-p3,5801,13061
C3-e003Coalescence-mGAM-p3,9890,20711
B4-e003Assembly-mBHI-p5,7726,15982
D4-e004Assembly-mGAM-p5,9616,20507
D3-e003Coalescence-Inoculumn-mBHI,9878,20663
C8-e003Assembly-mGAM-p5,5642,12659
C3-e003Coalescence-mBHI-p7,9847,20579
D11-e003Coalescence-mGAM-p5,9865,20654
A11-e003Coalescence-mGAM-p7,9674,20308
B8-e003Coalescence-mBHI-p5,9774,20387
B10-e003Assembly-mGAM-p5,9519,19801
C2-e003Coalescence-mGAM-p7,9889,20710
D3-e003Coalescence-mBHI-p5,6283,12544
B11-e003Coalescence-mGAM-p3,9886,20702
C4-e003Coalescence-mBHI-inoculumn-redo,9890,20711
B5-e003Assembly-mBHI-p5,7196,14625
D2-e003Coalescence-mBHI-p5,9170,19242
D8-e003Assembly-mGAM-p5,6778,14923
D5-e003Coalescence-mGAM-p5,9838,20605
B5-e003Coalescence-mBHI-p5,6993,14262
