,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,8672,8065
C9-e003Coalescence-mGAM-p3,11423,11572
D2-e004Assembly-mGAM-p7,10926,11003
B5-e004Assembly-mBHI-p3,4237,4346
C11-e003Coalescence-mBHI-p3,10779,10691
D11-e003Coalescence-mBHI-p5,11368,11487
C9-e003Coalescence-mGAM-p7,11424,11572
C8-e003Coalescence-mGAM-p7,11422,11538
D10-e003Coalescence-mBHI-p3,11309,11360
B2-e003Coalescence-mBHI-p3,10785,11160
A8-e003Coalescence-mBHI-p3,11041,10999
A4-e003Coalescence-mBHI-p7,9949,9462
B9-e003Coalescence-mGAM-p5,11423,11571
A4-e003Coalescence-mBHI-inoculumn-redo,11370,11481
B3-e003Coalescence-mBHI-p3,11345,11526
D4-e003Coalescence-mBHI-p5,4575,4033
B5-e004Assembly-mBHI-p7,10826,10833
D4-e003Coalescence-mBHI-p3,5864,5405
C4-e003GlycerolRevival-mBHI-p2,10451,10219
G5-e004Assembly-epsilon-p3,10589,10568
C5-e004Assembly-mBHI-p3,6929,6852
D10-e003Assembly-mGAM-p5,11145,11103
B2-e003Assembly-mBHI-p5,4827,4661
B2-e003Coalescence-mBHI-p5,6360,6785
B8-e003Assembly-mGAM-p5,8139,8116
F4-e004Assembly-epsilon-p5,9225,9303
C4-e003Coalescence-mGAM-p7,11417,11536
B12-e003Coalescence-mBHI-p3,4460,5036
e004-inoculumn-fecal-AK,11109,11206
C8-e003Assembly-mGAM-p3,7047,6918
C3-e003Coalescence-mGAM-p3,11424,11572
B4-e003Assembly-mBHI-p5,8780,8721
D4-e004Assembly-mGAM-p5,11069,11221
D3-e003Coalescence-Inoculumn-mBHI,11390,11546
C8-e003Assembly-mGAM-p5,6661,6692
C3-e003Coalescence-mBHI-p7,11312,11493
D11-e003Coalescence-mGAM-p5,11385,11525
A11-e003Coalescence-mGAM-p7,11215,11294
B8-e003Coalescence-mBHI-p5,11251,11452
B10-e003Assembly-mGAM-p5,10897,10904
C2-e003Coalescence-mGAM-p7,11412,11514
D3-e003Coalescence-mBHI-p5,6063,6687
B11-e003Coalescence-mGAM-p3,11424,11571
C4-e003Coalescence-mBHI-inoculumn-redo,10367,10216
B5-e003Assembly-mBHI-p5,8175,8285
D2-e003Coalescence-mBHI-p5,10620,10720
D8-e003Assembly-mGAM-p5,7916,7846
D5-e003Coalescence-mGAM-p5,11369,11497
B5-e003Coalescence-mBHI-p5,7130,7590
D5-e003Coalescence-mBHI-p7,10081,10316
C9-e003Coalescence-mBHI-p5,10738,11055
A5-e003Coalescence-mGAM-p3,11327,11482
A2-e003Coalescence-Inoculumn-mGAM,11116,11102
E5-e004Assembly-mGAM-p5,11073,11089
D8-e003Coalescence-mGAM-p5,11388,11520
A12-e003Coalescence-mGAM-p3,11257,11379
C2-e003Coalescence-mBHI-p3,6315,5727
C4-e004Assembly-mBHI-p5,7198,7211
D9-e003Coalescence-mGAM-p7,11405,11560
D4-e003Coalescence-mBHI-p7,10229,10194
D8-e003Assembly-mGAM-p3,4408,4305
E4-e004Assembly-mGAM-p7,11046,11202
E3-e004Assembly-mGAM-p3,10932,11204
D2-e004Assembly-mGAM-p3,10718,10777
B10-e003Coalescence-mGAM-p3,11424,11572
A9-e003Coalescence-mGAM-p7,11275,11454
D5-e004Assembly-mGAM-p5,7299,7398
