,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,9082,19444
C9-e003Coalescence-mGAM-p3,12022,26614
D2-e004Assembly-mGAM-p7,11380,25856
B5-e004Assembly-mBHI-p3,4312,10385
C11-e003Coalescence-mBHI-p3,11325,24948
D11-e003Coalescence-mBHI-p5,11993,26483
C9-e003Coalescence-mGAM-p7,12024,26621
C8-e003Coalescence-mGAM-p7,12013,26588
D10-e003Coalescence-mBHI-p3,11891,26269
B2-e003Coalescence-mBHI-p3,11415,25241
A8-e003Coalescence-mBHI-p3,11700,26399
A4-e003Coalescence-mBHI-p7,10053,22265
B9-e003Coalescence-mGAM-p5,12011,26582
A4-e003Coalescence-mBHI-inoculumn-redo,12011,26606
B3-e003Coalescence-mBHI-p3,11972,26458
D4-e003Coalescence-mBHI-p5,5146,10329
B5-e004Assembly-mBHI-p7,11443,25998
D4-e003Coalescence-mBHI-p3,6419,13195
C4-e003GlycerolRevival-mBHI-p2,11026,23948
G5-e004Assembly-epsilon-p3,11076,25294
C5-e004Assembly-mBHI-p3,7027,16521
D10-e003Assembly-mGAM-p5,11712,25746
B2-e003Assembly-mBHI-p5,4817,11659
B2-e003Coalescence-mBHI-p5,6821,14844
B8-e003Assembly-mGAM-p5,8133,19696
F4-e004Assembly-epsilon-p5,9446,21890
C4-e003Coalescence-mGAM-p7,12003,26572
B12-e003Coalescence-mBHI-p3,5826,11696
e004-inoculumn-fecal-AK,11610,26299
C8-e003Assembly-mGAM-p3,7023,16550
C3-e003Coalescence-mGAM-p3,12023,26622
B4-e003Assembly-mBHI-p5,9222,20197
D4-e004Assembly-mGAM-p5,11685,26367
D3-e003Coalescence-Inoculumn-mBHI,12007,26553
C8-e003Assembly-mGAM-p5,6739,16200
C3-e003Coalescence-mBHI-p7,11963,26407
D11-e003Coalescence-mGAM-p5,12005,26564
A11-e003Coalescence-mGAM-p7,11744,25992
B8-e003Coalescence-mBHI-p5,11867,26169
B10-e003Assembly-mGAM-p5,11448,25268
C2-e003Coalescence-mGAM-p7,11994,26561
D3-e003Coalescence-mBHI-p5,7658,15466
B11-e003Coalescence-mGAM-p3,12017,26603
C4-e003Coalescence-mBHI-inoculumn-redo,10867,23899
B5-e003Assembly-mBHI-p5,8712,18488
D2-e003Coalescence-mBHI-p5,11180,24657
D8-e003Assembly-mGAM-p5,8129,19068
D5-e003Coalescence-mGAM-p5,11974,26471
B5-e003Coalescence-mBHI-p5,8421,17839
D5-e003Coalescence-mBHI-p7,11104,24004
C9-e003Coalescence-mBHI-p5,11508,25200
A5-e003Coalescence-mGAM-p3,11941,26401
A2-e003Coalescence-Inoculumn-mGAM,11832,26589
E5-e004Assembly-mGAM-p5,11777,26480
D8-e003Coalescence-mGAM-p5,12002,26524
A12-e003Coalescence-mGAM-p3,11866,26198
C2-e003Coalescence-mBHI-p3,6702,14188
C4-e004Assembly-mBHI-p5,7327,17255
D9-e003Coalescence-mGAM-p7,12012,26569
D4-e003Coalescence-mBHI-p7,11050,23790
D8-e003Assembly-mGAM-p3,4412,10612
E4-e004Assembly-mGAM-p7,11646,26346
E3-e004Assembly-mGAM-p3,11539,25725
D2-e004Assembly-mGAM-p3,11106,25377
B10-e003Coalescence-mGAM-p3,12024,26614
A9-e003Coalescence-mGAM-p7,11876,26244
D5-e004Assembly-mGAM-p5,7553,17842
B5-e003Coalescence-Inoculumn-mGAM,12022,26616
D10-e003Coalescence-mBHI-p5,11646,25435
D5-e003Coalescence-mBHI-p3,11627,25496
D9-e003Coalescence-mGAM-p5,12019,26599
C9-e003Coalescence-mBHI-p3,11959,26413
D10-e003Coalescence-mGAM-p5,12006,26582
