,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,5696,5644
C9-e003Coalescence-mGAM-p3,8649,8271
D2-e004Assembly-mGAM-p7,8299,7979
B5-e004Assembly-mBHI-p3,3335,3152
C11-e003Coalescence-mBHI-p3,7761,7644
D11-e003Coalescence-mBHI-p5,8621,8200
C9-e003Coalescence-mGAM-p7,8651,8274
C8-e003Coalescence-mGAM-p7,8633,8270
D10-e003Coalescence-mBHI-p3,8487,8176
B2-e003Coalescence-mBHI-p3,8307,7864
A8-e003Coalescence-mBHI-p3,8298,8010
A4-e003Coalescence-mBHI-p7,7028,7173
B9-e003Coalescence-mGAM-p5,8638,8263
A4-e003Coalescence-mBHI-inoculumn-redo,8591,8243
B3-e003Coalescence-mBHI-p3,8589,8225
D4-e003Coalescence-mBHI-p5,2495,2408
B5-e004Assembly-mBHI-p7,8148,7904
D4-e003Coalescence-mBHI-p3,3513,3291
C4-e003GlycerolRevival-mBHI-p2,7640,7589
G5-e004Assembly-epsilon-p3,7930,7724
C5-e004Assembly-mBHI-p3,5241,4936
D10-e003Assembly-mGAM-p5,8300,8079
B2-e003Assembly-mBHI-p5,3542,3457
B2-e003Coalescence-mBHI-p5,5048,4716
B8-e003Assembly-mGAM-p5,6215,6005
F4-e004Assembly-epsilon-p5,7024,6766
C4-e003Coalescence-mGAM-p7,8629,8270
B12-e003Coalescence-mBHI-p3,3955,3298
e004-inoculumn-fecal-AK,8443,8121
C8-e003Assembly-mGAM-p3,5270,5004
C3-e003Coalescence-mGAM-p3,8651,8274
B4-e003Assembly-mBHI-p5,6472,6333
D4-e004Assembly-mGAM-p5,8407,8092
D3-e003Coalescence-Inoculumn-mBHI,8638,8222
C8-e003Assembly-mGAM-p5,5044,4910
C3-e003Coalescence-mBHI-p7,8581,8207
D11-e003Coalescence-mGAM-p5,8639,8210
A11-e003Coalescence-mGAM-p7,8507,8056
B8-e003Coalescence-mBHI-p5,8537,8156
B10-e003Assembly-mGAM-p5,8123,7901
C2-e003Coalescence-mGAM-p7,8617,8266
D3-e003Coalescence-mBHI-p5,5233,4378
B11-e003Coalescence-mGAM-p3,8648,8268
C4-e003Coalescence-mBHI-inoculumn-redo,7675,7514
B5-e003Assembly-mBHI-p5,6250,5684
D2-e003Coalescence-mBHI-p5,8063,7563
D8-e003Assembly-mGAM-p5,5901,5724
D5-e003Coalescence-mGAM-p5,8620,8188
B5-e003Coalescence-mBHI-p5,5924,5276
D5-e003Coalescence-mBHI-p7,7845,7264
C9-e003Coalescence-mBHI-p5,8236,7852
A5-e003Coalescence-mGAM-p3,8595,8153
A2-e003Coalescence-Inoculumn-mGAM,8388,8072
E5-e004Assembly-mGAM-p5,8344,8073
D8-e003Coalescence-mGAM-p5,8640,8192
A12-e003Coalescence-mGAM-p3,8563,8099
C2-e003Coalescence-mBHI-p3,4246,4520
C4-e004Assembly-mBHI-p5,5484,5374
D9-e003Coalescence-mGAM-p7,8634,8266
D4-e003Coalescence-mBHI-p7,7332,6870
D8-e003Assembly-mGAM-p3,3297,3201
E4-e004Assembly-mGAM-p7,8396,8092
E3-e004Assembly-mGAM-p3,8349,7934
D2-e004Assembly-mGAM-p3,8125,7853
B10-e003Coalescence-mGAM-p3,8651,8270
A9-e003Coalescence-mGAM-p7,8558,8154
D5-e004Assembly-mGAM-p5,5631,5425
B5-e003Coalescence-Inoculumn-mGAM,8651,8270
D10-e003Coalescence-mBHI-p5,8056,7666
D5-e003Coalescence-mBHI-p3,8334,7874
D9-e003Coalescence-mGAM-p5,8645,8270
C9-e003Coalescence-mBHI-p3,8577,8207
D10-e003Coalescence-mGAM-p5,8636,8271
C8-e003Coalescence-mBHI-p7,6703,6631
B11-e003Assembly-mGAM-p5,8490,8010
B4-e003Coalescence-mGAM-p5,8630,8268
D4-e003Coalescence-mGAM-p5,8646,8273
B5-e003Coalescence-mGAM-p5,8520,8091
BB-Fecal,5855,5707
B5-e003Coalescence-Inoculumn-mBHI,8401,7856
C2-e003Coalescence-mGAM-p3,8195,7990
B5-e003Coalescence-mGAM-p7,8560,8094
D8-e003Coalescence-mBHI-p5,8567,8140
E5-e004Assembly-mGAM-p7,8335,8066
C10-e003Assembly-mGAM-p3,7726,7604
B10-e003Coalescence-mBHI-p5,8031,7631
D5-e003Coalescence-Inoculumn-mGAM,8651,8274
B5-e003Coalescence-mBHI-p3,7828,7204
G4-e004Assembly-epsilon-p5,8221,7852
C4-e003Coalescence-mGAM-p5,8623,8271
C5-e003Coalescence-mGAM-p7,8644,8268
C5-e003Coalescence-mBHI-inoculumn-redo,8638,8261
A2-e003Coalescence-mBHI-p7,3111,3051
A10-e003Coalescence-mBHI-p5,5779,5791
BF-Fecal,2759,2752
A4-e003Coalescence-mGAM-p5,8566,8181
D5-e003Coalescence-mBHI-p5,8625,8268
D3-e003Assembly-mBHI-p3,6052,5796
D4-e003Coalescence-mGAM-p7,8650,8270
E4-e004Assembly-mGAM-p3,8137,7818
A8-e003Coalescence-mBHI-p7,8344,8042
e003-inoculumn-fecal-AC,2992,2883
E3-e004Assembly-mGAM-p7,8305,7908
B9-e003GlycerolRevival-mGAM-p2,8620,8237
C4-e003Coalescence-mGAM-p3,8629,8270
B2-e003Coalescence-Inoculumn-mGAM,8648,8270
D5-e003Coalescence-mGAM-p7,7093,6444
C5-e003Coalescence-mBHI-p5,8356,8005
C5-e003Coalescence-mGAM-p3,8643,8274
A3-e003Coalescence-mBHI-inoculumn-redo,4230,4062
D9-e003Assembly-mGAM-p5,8546,8178
B12-e003Coalescence-mGAM-p3,8574,8207
A11-e003Coalescence-mBHI-p7,7958,7284
A3-e003Coalescence-Inoculumn-mGAM,8637,8260
D10-e003Assembly-mGAM-p3,8406,8105
C3-e003Coalescence-mGAM-p5,8650,8274
B4-e004Assembly-mBHI-p5,3263,3093
C10-e003GlycerolRevival-mGAM-p2,8636,8270
D3-e003Assembly-mBHI-p5,8532,8188
A10-e003Coalescence-mGAM-p3,8631,8271
A9-e003Coalescence-mBHI-p3,8640,8260
A2-e003Coalescence-Inoculumn-mBHI,8380,8072
D3-e003Coalescence-mBHI-p7,8591,8155
C3-e003Coalescence-mBHI-p5,8485,8142
D11-e003Assembly-mGAM-p3,8193,7728
D2-e003Assembly-mBHI-p3,8021,7697
B3-e003Assembly-mBHI-p5,2970,2939
A9-e003Coalescence-mBHI-p5,7182,6850
D5-e003Coalescence-Inoculumn-mBHI,8626,8186
B2-e003Coalescence-mGAM-p3,8352,7984
C11-e003Coalescence-mGAM-p5,8642,8270
G4-e004Assembly-epsilon-p3,8187,7876
B3-e003Coalescence-Inoculumn-mBHI,7038,6688
A8-e003Coalescence-mBHI-p5,7946,7665
D5-e004Assembly-mGAM-p7,8286,8018
C2-e003Assembly-mBHI-p5,3039,2844
D5-e003Assembly-mBHI-p5,5602,5026
A5-e003Coalescence-mBHI-p7,8439,7959
BG-Fecal,7457,7078
D2-e003Coalescence-mGAM-p5,8638,8223
B9-e003Assembly-mGAM-p5,8585,8227
D3-e003Coalescence-mGAM-p3,8624,8254
D9-e003Coalescence-mGAM-p3,8636,8251
E2-e004Assembly-mGAM-p7,8471,8147
D3-e003Coalescence-mGAM-p5,8646,8265
C10-e003Coalescence-mGAM-p3,8598,8263
A5-e003Coalescence-mBHI-inoculumn-redo,8515,8092
B11-e003Assembly-mGAM-p3,8551,8130
D2-e003Assembly-mBHI-p5,4736,4512
B9-e003Coalescence-mGAM-p7,8631,8238
B11-e003Coalescence-mGAM-p7,8565,8164
C3-e003Coalescence-Inoculumn-mGAM,8651,8274
B5-e003Coalescence-mBHI-p7,7986,7442
A3-e003Coalescence-mGAM-p7,8643,8259
D4-e003Coalescence-Inoculumn-mBHI,8649,8271
D10-e003Coalescence-mGAM-p7,8637,8270
C12-e003Coalescence-mGAM-p3,8595,8265
C11-e003Coalescence-mGAM-p3,8633,8273
D5-e004Assembly-mGAM-p3,8338,8062
A10-e003Coalescence-mBHI-p7,6954,7015
C10-e003Coalescence-mBHI-p7,8327,8068
B9-e003Coalescence-mBHI-p5,8542,8154
F4-e004Assembly-epsilon-p3,7721,7423
B10-e003Coalescence-mBHI-p3,8562,8169
C11-e003Coalescence-mBHI-p5,8644,8270
A2-e003Coalescence-mGAM-p7,8319,7992
F5-e004Assembly-epsilon-p3,4134,4125
E3-e004Assembly-mGAM-p5,8344,7965
E2-e004Assembly-mGAM-p5,8462,8113
C3-e003GlycerolRevival-mBHI-p2,8432,8076
D10-e003Coalescence-mGAM-p3,8641,8270
B10-e003Coalescence-mGAM-p7,8568,8204
C4-e004Assembly-mBHI-p3,8058,7784
A9-e003Coalescence-mBHI-p7,8608,8238
C2-e003Coalescence-Inoculumn-mGAM,8640,8272
B3-e003Coalescence-Inoculumn-mGAM,8647,8264
D11-e003Coalescence-mGAM-p7,8629,8214
D5-e003Coalescence-mGAM-p3,8638,8235
D4-e004Assembly-mGAM-p3,8086,7825
E4-e004Assembly-mGAM-p5,8418,8100
E5-e004Assembly-mGAM-p3,8327,8042
D2-e003Coalescence-Inoculumn-mBHI,8185,7693
B4-e003Coalescence-Inoculumn-mGAM,8651,8273
A10-e003Coalescence-mGAM-p7,8602,8267
B2-e003Assembly-mBHI-p3,6864,6532
F4-e004Assembly-epsilon-p7,8332,7974
D9-e003Coalescence-mBHI-p5,7708,7285
C4-e003Coalescence-Inoculumn-mGAM,8651,8274
D4-e003Coalescence-mGAM-p3,8650,8273
B9-e003Coalescence-mBHI-p7,8284,7891
A2-e003Coalescence-mGAM-p5,8209,7898
D11-e003Assembly-mGAM-p5,8490,7997
C3-e003Coalescence-mGAM-p7,8651,8274
B11-e003GlycerolRevival-mGAM-p2,8528,8035
C5-e004Assembly-mBHI-p7,4940,4675
B3-e003Coalescence-mGAM-p5,8649,8272
D9-e003Coalescence-mBHI-p7,7269,6770
G5-e004Assembly-epsilon-p5,7014,6839
B10-e003Assembly-mGAM-p3,6058,6066
C5-e003Coalescence-mBHI-p7,8617,8247
D12-e003Coalescence-mBHI-p3,3587,3114
E2-e004Assembly-mGAM-p3,2833,2699
D4-e004Assembly-mGAM-p7,8425,8108
C11-e003Coalescence-mGAM-p7,8648,8271
C11-e003Assembly-mGAM-p3,8562,8060
D10-e003Coalescence-mBHI-p7,8604,8224
C9-e003Coalescence-mBHI-p7,5887,5697
A2-e003Coalescence-mBHI-p3,4077,3878
B8-e003Coalescence-mGAM-p5,8622,8259
C11-e003Assembly-mGAM-p5,8623,8191
