,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,9203,19807
C9-e003Coalescence-mGAM-p3,12016,27190
D2-e004Assembly-mGAM-p7,11369,26387
B5-e004Assembly-mBHI-p3,4319,10688
C11-e003Coalescence-mBHI-p3,11372,25329
D11-e003Coalescence-mBHI-p5,11961,27009
C9-e003Coalescence-mGAM-p7,12018,27196
C8-e003Coalescence-mGAM-p7,12018,27196
D10-e003Coalescence-mBHI-p3,11891,26796
B2-e003Coalescence-mBHI-p3,11369,25813
A8-e003Coalescence-mBHI-p3,11700,26945
A4-e003Coalescence-mBHI-p7,10012,22377
B9-e003Coalescence-mGAM-p5,12007,27158
A4-e003Coalescence-mBHI-inoculumn-redo,12010,27182
B3-e003Coalescence-mBHI-p3,11964,27014
D4-e003Coalescence-mBHI-p5,5172,10497
B5-e004Assembly-mBHI-p7,11499,26559
D4-e003Coalescence-mBHI-p3,6432,13418
C4-e003GlycerolRevival-mBHI-p2,11092,24335
G5-e004Assembly-epsilon-p3,11117,25817
C5-e004Assembly-mBHI-p3,6991,16910
D10-e003Assembly-mGAM-p5,11751,26306
B2-e003Assembly-mBHI-p5,4772,11834
B2-e003Coalescence-mBHI-p5,6818,15233
B8-e003Assembly-mGAM-p5,8140,20099
F4-e004Assembly-epsilon-p5,9462,22374
C4-e003Coalescence-mGAM-p7,12018,27192
B12-e003Coalescence-mBHI-p3,5807,12257
e004-inoculumn-fecal-AK,11589,26843
C8-e003Assembly-mGAM-p3,6977,16972
C3-e003Coalescence-mGAM-p3,12017,27196
B4-e003Assembly-mBHI-p5,9295,20616
D4-e004Assembly-mGAM-p5,11701,26942
D3-e003Coalescence-Inoculumn-mBHI,11988,27109
C8-e003Assembly-mGAM-p5,6780,16556
C3-e003Coalescence-mBHI-p7,11951,26971
D11-e003Coalescence-mGAM-p5,11985,27085
A11-e003Coalescence-mGAM-p7,11748,26553
B8-e003Coalescence-mBHI-p5,11862,26716
B10-e003Assembly-mGAM-p5,11505,25811
C2-e003Coalescence-mGAM-p7,12012,27180
D3-e003Coalescence-mBHI-p5,7571,16227
B11-e003Coalescence-mGAM-p3,12011,27180
C4-e003Coalescence-mBHI-inoculumn-redo,10892,24359
B5-e003Assembly-mBHI-p5,8636,18909
D2-e003Coalescence-mBHI-p5,11099,25112
