,index,fixed_diffs,comparisons,sample1,species_id
0,D9-e003Assembly-mGAM-p5,0,1337979,D9-e003Assembly-mGAM-p5,102926
1,C_B1_e003Assembly_6_S205,13868,1050256,D9-e003Assembly-mGAM-p5,102926
2,C_B5_e003Assembly_6_S209,14243,1099958,D9-e003Assembly-mGAM-p5,102926
3,C_B9_e003Assembly_4_S213,11436,879045,D9-e003Assembly-mGAM-p5,102926
4,D_F7_e003Assembly_S355,10089,873076,D9-e003Assembly-mGAM-p5,102926
5,D_F11_e003Assembly_S359,14709,1248753,D9-e003Assembly-mGAM-p5,102926
0,D9-e003Assembly-mGAM-p5,13868,1337979,C_B1_e003Assembly_6_S205,102926
1,C_B1_e003Assembly_6_S205,0,1050256,C_B1_e003Assembly_6_S205,102926
2,C_B5_e003Assembly_6_S209,5,1099958,C_B1_e003Assembly_6_S205,102926
3,C_B9_e003Assembly_4_S213,5,879045,C_B1_e003Assembly_6_S205,102926
4,D_F7_e003Assembly_S355,8507,873076,C_B1_e003Assembly_6_S205,102926
5,D_F11_e003Assembly_S359,11919,1248753,C_B1_e003Assembly_6_S205,102926
0,D9-e003Assembly-mGAM-p5,14243,1337979,C_B5_e003Assembly_6_S209,102926
1,C_B1_e003Assembly_6_S205,5,1050256,C_B5_e003Assembly_6_S209,102926
2,C_B5_e003Assembly_6_S209,0,1099958,C_B5_e003Assembly_6_S209,102926
3,C_B9_e003Assembly_4_S213,7,879045,C_B5_e003Assembly_6_S209,102926
4,D_F7_e003Assembly_S355,8673,873076,C_B5_e003Assembly_6_S209,102926
5,D_F11_e003Assembly_S359,12300,1248753,C_B5_e003Assembly_6_S209,102926
0,D9-e003Assembly-mGAM-p5,11436,1337979,C_B9_e003Assembly_4_S213,102926
1,C_B1_e003Assembly_6_S205,5,1050256,C_B9_e003Assembly_4_S213,102926
2,C_B5_e003Assembly_6_S209,7,1099958,C_B9_e003Assembly_4_S213,102926
3,C_B9_e003Assembly_4_S213,0,879045,C_B9_e003Assembly_4_S213,102926
4,D_F7_e003Assembly_S355,7048,873076,C_B9_e003Assembly_4_S213,102926
5,D_F11_e003Assembly_S359,9897,1248753,C_B9_e003Assembly_4_S213,102926
0,D9-e003Assembly-mGAM-p5,10089,1337979,D_F7_e003Assembly_S355,102926
1,C_B1_e003Assembly_6_S205,8507,1050256,D_F7_e003Assembly_S355,102926
2,C_B5_e003Assembly_6_S209,8673,1099958,D_F7_e003Assembly_S355,102926
3,C_B9_e003Assembly_4_S213,7048,879045,D_F7_e003Assembly_S355,102926
4,D_F7_e003Assembly_S355,0,873076,D_F7_e003Assembly_S355,102926
5,D_F11_e003Assembly_S359,0,1248753,D_F7_e003Assembly_S355,102926
0,D9-e003Assembly-mGAM-p5,14709,1337979,D_F11_e003Assembly_S359,102926
1,C_B1_e003Assembly_6_S205,11919,1050256,D_F11_e003Assembly_S359,102926
2,C_B5_e003Assembly_6_S209,12300,1099958,D_F11_e003Assembly_S359,102926
3,C_B9_e003Assembly_4_S213,9897,879045,D_F11_e003Assembly_S359,102926
4,D_F7_e003Assembly_S355,0,873076,D_F11_e003Assembly_S359,102926
5,D_F11_e003Assembly_S359,0,1248753,D_F11_e003Assembly_S359,102926
