,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-mBHI-inoculumn-redo,9576,16033
C4-e003Coalescence-mBHI-inoculumn-redo,9576,16033
A4-e003Coalescence-mBHI-inoculumn-redo,9575,16025
A4-e003Coalescence-mBHI-p3,4652,7308
A4-e003Coalescence-mBHI-p5,9509,15922
A4-e003Coalescence-mBHI-p7,9304,15559
A4-e003Coalescence-mGAM-p5,9528,15981
C2-e003Coalescence-mBHI-inoculumn-redo,9572,15987
C2-e003Coalescence-mBHI-p3,9000,14187
C2-e003Coalescence-mBHI-p5,6114,10225
C2-e003Coalescence-mGAM-p3,9570,16004
C2-e003Coalescence-mGAM-p5,9573,15988
C2-e003Coalescence-mGAM-p7,9570,15980
E4-e003Coalescence-mBHI-p5_S3,9557,15994
E4-e003Coalescence-mBHI-p7_S99,9554,15995
E4-e003Coalescence-mGAM-p3_S59,9569,15958
E4-e003Coalescence-mGAM-p5_S51,9549,15687
E4-e003Coalescence-mGAM-p7_S147,9573,15958
G2-e003Coalescence-mBHI-p3_S33,6382,10186
G2-e003Coalescence-mBHI-p5_S25,9143,15346
G2-e003Coalescence-mBHI-p7_S121,3067,5614
G2-e003Coalescence-mGAM-p3_S81,9573,16029
G2-e003Coalescence-mGAM-p5_S73,9551,15701
