,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,12121,13093
B3-e003Coalescence-Inoculumn-mBHI,12121,13093
A3-e003Coalescence-mGAM-p7,12064,12999
B2-e003Coalescence-Inoculumn-mBHI,10238,10855
B2-e003Coalescence-mBHI-p3,4962,5928
B2-e003Coalescence-mGAM-p3,12088,13039
E3-e003Coalescence-mBHI-p3_S10,3174,3367
E3-e003Coalescence-mBHI-p5_S2,5915,7259
E3-e003Coalescence-mGAM-p3_S58,12094,12989
E3-e003Coalescence-mGAM-p5_S50,12119,13066
E3-e003Coalescence-mGAM-p7_S146,11937,12745
F2-e003Coalescence-mBHI-p5_S13,11732,12864
F2-e003Coalescence-mGAM-p3_S69,12088,12986
F2-e003Coalescence-mGAM-p5_S61,12119,13081
F2-e003Coalescence-mGAM-p7_S157,12117,13056
