,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,12484,11924
D5-e003Coalescence-Inoculumn-mGAM,12484,11924
A11-e003Coalescence-mBHI-p3,12483,11922
A11-e003Coalescence-mBHI-p5,12416,11889
A11-e003Coalescence-mBHI-p7,12276,11807
A11-e003Coalescence-mGAM-p3,12474,11915
A11-e003Coalescence-mGAM-p7,12479,11890
A5-e003Coalescence-Inoculumn-mGAM,12465,11921
D2-e003Coalescence-Inoculumn-mGAM,12422,11917
D8-e003Coalescence-mBHI-p5,12459,11904
D8-e003Coalescence-mGAM-p5,12477,11880
E111-e003Coalescence-mBHI-p3_S108,12278,11837
E111-e003Coalescence-mBHI-p5_S8,12441,11894
E111-e003Coalescence-mBHI-p7_S104,12414,11911
E111-e003Coalescence-mGAM-p5_S56,12442,11800
H8-e003Coalescence-mBHI-p5_S41,12478,11913
H8-e003Coalescence-mBHI-p7_S137,12431,11918
H8-e003Coalescence-mGAM-p5_S89,12453,11821
H8-e003Coalescence-mGAM-p7_S185,12473,11848
