,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,5750,5884
A4-e003Coalescence-mBHI-p3,5690,5844
A4-e003Coalescence-mBHI-p5,5743,5881
A4-e003Coalescence-mBHI-p7,5735,5875
C2-e003Coalescence-mBHI-inoculumn-redo,5748,5882
C2-e003Coalescence-mBHI-p3,5741,5883
C2-e003Coalescence-mBHI-p5,5661,5822
C2-e003Coalescence-mBHI-p7,1452,1465
C2-e003Coalescence-mGAM-p7,5515,5612
E4-e003Coalescence-mBHI-p3_S11,5717,5867
E4-e003Coalescence-mBHI-p5_S3,5737,5874
E4-e003Coalescence-mBHI-p7_S99,5655,5823
G2-e003Coalescence-mBHI-p3_S33,5729,5866
G2-e003Coalescence-mBHI-p5_S25,5737,5880
G2-e003Coalescence-mBHI-p7_S121,5024,5222
