,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
A4-e003Coalescence-mBHI-p3,0.0,0.7093813732154997
A4-e003Coalescence-mBHI-p5,0.0,0.5236233854520734
A4-e003Coalescence-mBHI-p7,0.0,0.35520054384772265
C2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
C2-e003Coalescence-mBHI-p3,0.0,0.8436437797416724
C2-e003Coalescence-mBHI-p5,0.0,0.8239292997960571
C2-e003Coalescence-mBHI-p7,0.002260869565217391,0.2316451393609789
C2-e003Coalescence-mGAM-p7,0.9589565217391305,0.0
E4-e003Coalescence-mBHI-p3_S11,0.0,0.5989123045547247
E4-e003Coalescence-mBHI-p5_S3,0.0,0.5965329707681849
E4-e003Coalescence-mBHI-p7_S99,0.0,0.6176070700203943
G2-e003Coalescence-mBHI-p3_S33,0.0,0.22314751869476546
G2-e003Coalescence-mBHI-p5_S25,0.0,0.17963970088375256
G2-e003Coalescence-mBHI-p7_S121,0.0010434782608695651,0.7787219578518015
