,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p5,2705,1716
A10-e003Coalescence-mBHI-p7,3906,2260
A10-e003Coalescence-mGAM-p3,4675,2805
A10-e003Coalescence-mGAM-p7,4470,2721
A4-e003Coalescence-Inoculumn-mGAM,4680,2807
C2-e003Coalescence-Inoculumn-mGAM,4669,2807
C8-e003Coalescence-mBHI-p5,4649,2792
C8-e003Coalescence-mBHI-p7,3427,2048
C8-e003Coalescence-mGAM-p7,4679,2807
E100-e003Coalescence-mBHI-p5_S7,4487,2706
E100-e003Coalescence-mBHI-p7_S103,4530,2749
E100-e003Coalescence-mGAM-p3_S155,4645,2763
E100-e003Coalescence-mGAM-p5_S55,4579,2787
E100-e003Coalescence-mGAM-p7_S151,4588,2794
G8-e003Coalescence-mBHI-p3_S129,4589,2761
G8-e003Coalescence-mBHI-p5_S29,4616,2783
G8-e003Coalescence-mBHI-p7_S125,4329,2601
G8-e003Coalescence-mGAM-p3_S177,4672,2789
G8-e003Coalescence-mGAM-p5_S77,4597,2805
G8-e003Coalescence-mGAM-p7_S173,4656,2805
