,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mBHI,5474,2574
B4-e003Coalescence-mBHI-p3,5412,2500
B4-e003Coalescence-mGAM-p5,5436,2525
C3-e003Coalescence-mBHI-inoculumn-redo,5476,2575
C3-e003Coalescence-mBHI-p5,5405,2568
C3-e003Coalescence-mBHI-p7,5468,2572
C3-e003Coalescence-mGAM-p3,5449,2536
C3-e003Coalescence-mGAM-p5,5471,2569
C3-e003Coalescence-mGAM-p7,5464,2568
F4-e003Coalescence-mBHI-p3_S23,5410,2472
F4-e003Coalescence-mBHI-p5_S15,5422,2541
F4-e003Coalescence-mBHI-p7_S111,5423,2542
F4-e003Coalescence-mGAM-p3_S71,5460,2525
F4-e003Coalescence-mGAM-p5_S63,5421,2551
F4-e003Coalescence-mGAM-p7_S159,5472,2543
G3-e003Coalescence-mBHI-p3_S34,5450,2520
G3-e003Coalescence-mBHI-p5_S26,5458,2573
G3-e003Coalescence-mBHI-p7_S122,5428,2568
G3-e003Coalescence-mGAM-p3_S82,5423,2497
G3-e003Coalescence-mGAM-p5_S74,5461,2567
