,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,6134,20686
B11-e003Coalescence-mGAM-p3,6274,20719
B11-e003Coalescence-mGAM-p7,6265,20588
B5-e003Coalescence-Inoculumn-mGAM,6256,20691
D3-e003Coalescence-Inoculumn-mGAM,6274,20715
D9-e003Coalescence-mBHI-p3,4537,16722
D9-e003Coalescence-mBHI-p5,6036,20622
D9-e003Coalescence-mBHI-p7,6103,20656
D9-e003Coalescence-mGAM-p3,6269,20637
D9-e003Coalescence-mGAM-p5,6271,20699
D9-e003Coalescence-mGAM-p7,6269,20667
F111-e003Coalescence-mBHI-p3_S120,5914,20561
F111-e003Coalescence-mBHI-p5_S20,5695,20199
F111-e003Coalescence-mBHI-p7_S116,6159,20618
F111-e003Coalescence-mGAM-p3_S168,6089,19143
F111-e003Coalescence-mGAM-p5_S68,6059,18715
F111-e003Coalescence-mGAM-p7_S164,5925,18047
H9-e003Coalescence-mBHI-p5_S42,5955,20646
H9-e003Coalescence-mBHI-p7_S138,5902,20473
H9-e003Coalescence-mGAM-p3_S190,6170,19224
H9-e003Coalescence-mGAM-p5_S90,6143,19396
H9-e003Coalescence-mGAM-p7_S186,6103,19570
