,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,6329,25117
A11-e003Coalescence-mBHI-p5,6066,24579
A11-e003Coalescence-mBHI-p7,5498,22499
A11-e003Coalescence-mGAM-p3,6327,25089
A11-e003Coalescence-mGAM-p7,6284,24592
A5-e003Coalescence-Inoculumn-mGAM,6331,25117
D2-e003Coalescence-Inoculumn-mGAM,6329,25117
D8-e003Coalescence-mBHI-p5,6287,25035
D8-e003Coalescence-mGAM-p5,6315,24994
E111-e003Coalescence-mBHI-p3_S108,6089,24501
E111-e003Coalescence-mBHI-p5_S8,6156,24863
E111-e003Coalescence-mBHI-p7_S104,6314,25089
E111-e003Coalescence-mGAM-p5_S56,6262,23925
H8-e003Coalescence-mBHI-p5_S41,6291,25083
H8-e003Coalescence-mBHI-p7_S137,6286,25076
H8-e003Coalescence-mGAM-p5_S89,6253,24632
H8-e003Coalescence-mGAM-p7_S185,6290,24663
