,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,2110,4232
A3-e003Coalescence-mBHI-p3,975,1879
A3-e003Coalescence-mGAM-p7,2332,4610
B2-e003Coalescence-Inoculumn-mBHI,2334,4621
B2-e003Coalescence-mBHI-p3,1827,3576
B2-e003Coalescence-mGAM-p3,2318,4564
E3-e003Coalescence-mBHI-p3_S10,2040,3860
E3-e003Coalescence-mGAM-p3_S58,2311,4519
E3-e003Coalescence-mGAM-p5_S50,2340,4629
E3-e003Coalescence-mGAM-p7_S146,2338,4630
F2-e003Coalescence-mBHI-p3_S21,1292,2267
F2-e003Coalescence-mBHI-p5_S13,908,1637
F2-e003Coalescence-mGAM-p3_S69,2323,4579
F2-e003Coalescence-mGAM-p5_S61,2341,4629
F2-e003Coalescence-mGAM-p7_S157,2336,4612
