,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,6366,20297
B5-e003Coalescence-mBHI-p3,6394,20326
B5-e003Coalescence-mBHI-p5,6316,20259
B5-e003Coalescence-mBHI-p7,6351,20301
B5-e003Coalescence-mGAM-p3,6365,20108
B5-e003Coalescence-mGAM-p5,6379,20194
B5-e003Coalescence-mGAM-p7,6372,20056
D3-e003Coalescence-Inoculumn-mBHI,6389,20343
D3-e003Coalescence-mBHI-p5,6332,20224
D3-e003Coalescence-mBHI-p7,6298,20308
D3-e003Coalescence-mGAM-p3,6340,20112
D3-e003Coalescence-mGAM-p5,6391,20288
F5-e003Coalescence-mBHI-p3_S24,6387,20321
F5-e003Coalescence-mBHI-p5_S16,6315,20281
F5-e003Coalescence-mBHI-p7_S112,6218,20017
F5-e003Coalescence-mGAM-p3_S72,6356,19466
F5-e003Coalescence-mGAM-p5_S64,6353,19485
F5-e003Coalescence-mGAM-p7_S160,6363,19776
H3-e003Coalescence-mBHI-p3_S46,6396,20340
H3-e003Coalescence-mBHI-p5_S38,6360,20304
H3-e003Coalescence-mBHI-p7_S134,6286,20059
H3-e003Coalescence-mGAM-p3_S94,6347,19425
H3-e003Coalescence-mGAM-p5_S86,6351,19377
H3-e003Coalescence-mGAM-p7_S182,6368,19746
