,index,fixed_diffs,comparisons,sample1,species_id
0,C4-e003Assembly-mBHI-p5,0,1884122,C4-e003Assembly-mBHI-p5,100220
1,C4-e003GlycerolRevival-mBHI-p2,9,1935421,C4-e003Assembly-mBHI-p5,100220
2,C_C6_e003Assembly_S222,129,1913662,C4-e003Assembly-mBHI-p5,100220
0,C4-e003Assembly-mBHI-p5,9,1884122,C4-e003GlycerolRevival-mBHI-p2,100220
1,C4-e003GlycerolRevival-mBHI-p2,0,1935421,C4-e003GlycerolRevival-mBHI-p2,100220
2,C_C6_e003Assembly_S222,140,1913662,C4-e003GlycerolRevival-mBHI-p2,100220
0,C4-e003Assembly-mBHI-p5,129,1884122,C_C6_e003Assembly_S222,100220
1,C4-e003GlycerolRevival-mBHI-p2,140,1935421,C_C6_e003Assembly_S222,100220
2,C_C6_e003Assembly_S222,0,1913662,C_C6_e003Assembly_S222,100220
