,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p1_S764,554,432
A10-e003Coalescence-mBHI-p5,677,514
A10-e003Coalescence-mBHI-p7,847,652
A10-e003Coalescence-mGAM-p1_S768,924,713
A10-e003Coalescence-mGAM-p3,939,715
A4-e003Coalescence-Inoculumn-mGAM,939,715
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,937,714
B_A11_A10_AE_AA_mGAM_mBHI_4_S107,895,695
B_A7_E10_AE_AA_mGAM_mBHI_2_S103,469,359
B_C9_C8_AA_AE_mGAM_mBHI_4_S129,392,358
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,921,703
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,933,711
B_G5_G8_AA_AE_mGAM_mGAM_2_S173,364,312
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,939,714
C2-e003Coalescence-Inoculumn-mGAM,932,711
C8-e003Coalescence-mBHI-p5,937,712
C8-e003Coalescence-mBHI-p7,785,616
C8-e003Coalescence-mGAM-p1_S754,932,708
C8-e003Coalescence-mGAM-p7,924,713
C_A7_A10_AE_AA_mGAM_mBHI_6_S199,680,550
C_C5_C8_AA_AE_mGAM_mBHI_6_S221,885,692
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,934,715
C_G5_C8_AA_AE_mGAM_mGAM_6_S269,850,659
Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,938,715
Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,478,426
Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,939,715
Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681,931,715
Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,924,710
D_A11_E10_AE_AA_mGAM_mBHI_4_S299,592,483
D_A6_A9_ACPP_AA_mGAM_mBHI_6_S294,906,702
D_A7_A10_AE_AA_mGAM_mBHI_6_S295,932,713
D_C5_C8_AA_AE_mGAM_mBHI_6_S317,900,698
D_C9_G8_AA_AE_mGAM_mBHI_4_S321,938,715
D_E11_E10_AE_AA_mGAM_mGAM_4_S347,939,715
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,911,698
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,938,711
D_G5_C8_AA_AE_mGAM_mGAM_6_S365,726,558
D_G9_G8_AA_AE_mGAM_mGAM_4_S369,926,707
E10-e003Coalescence-mBHI-p1_S828,868,669
E10-e003Coalescence-mGAM-p1_S832,929,711
E100-e003Coalescence-mBHI-p5_S7,904,700
E100-e003Coalescence-mBHI-p7_S103,931,714
E100-e003Coalescence-mGAM-p3_S155,935,714
E100-e003Coalescence-mGAM-p5_S55,921,707
E100-e003Coalescence-mGAM-p7_S151,886,682
G8-e003Coalescence-mBHI-p1_S814,287,246
G8-e003Coalescence-mBHI-p3_S129,932,714
G8-e003Coalescence-mBHI-p5_S29,922,708
G8-e003Coalescence-mBHI-p7_S125,927,705
G8-e003Coalescence-mGAM-p1_S818,931,708
G8-e003Coalescence-mGAM-p3_S177,920,702
G8-e003Coalescence-mGAM-p5_S77,887,690
G8-e003Coalescence-mGAM-p7_S173,930,712
