,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,6471,7609
A9-e003Coalescence-mBHI-p1_S756,6516,7611
A9-e003Coalescence-mBHI-p3,6534,7617
A9-e003Coalescence-mBHI-p5,6381,7275
A9-e003Coalescence-mBHI-p7,6528,7578
A9-e003Coalescence-mGAM-p1_S760,6463,7614
A9-e003Coalescence-mGAM-p5,6536,7623
A9-e003Coalescence-mGAM-p7,6535,7613
B2-e003Coalescence-Inoculumn-mGAM,6516,7619
B8-e003Coalescence-mBHI-p1_S749,6414,7531
B8-e003Coalescence-mBHI-p5,6516,7536
B8-e003Coalescence-mBHI-p7,6369,7215
B8-e003Coalescence-mGAM-p1_S753,6430,7605
B8-e003Coalescence-mGAM-p5,6536,7623
B8-e003Coalescence-mGAM-p7,6535,7622
B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,6519,7515
B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,5929,7063
B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,6534,7621
B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,6534,7623
Coalescence-D10-A9-AA-ACPP-mGAM-mGAM-3_S665,6527,7612
Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668,6534,7622
Coalescence-E2-B8-AA-ACPP-mGAM-mGAM-3_S669,3153,4278
E9-e003Coalescence-mBHI-p1_S820,6524,7615
E9-e003Coalescence-mBHI-p5_S6,6469,7305
E9-e003Coalescence-mBHI-p7_S102,6496,7434
E9-e003Coalescence-mGAM-p1_S824,6383,7605
E9-e003Coalescence-mGAM-p3_S154,6524,7614
E9-e003Coalescence-mGAM-p5_S54,6522,7619
F8-e003Coalescence-mBHI-p1_S813,6144,7291
F8-e003Coalescence-mBHI-p3_S117,6486,7477
F8-e003Coalescence-mBHI-p5_S17,6492,7478
F8-e003Coalescence-mBHI-p7_S113,6416,7181
F8-e003Coalescence-mGAM-p1_S817,6437,7615
F8-e003Coalescence-mGAM-p3_S165,3130,4002
F8-e003Coalescence-mGAM-p5_S65,6519,7606
F8-e003Coalescence-mGAM-p7_S161,6496,7325
