,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,2101,4216
A3-e003Coalescence-mBHI-p1_S724,1958,3862
A3-e003Coalescence-mBHI-p3,953,1849
A3-e003Coalescence-mGAM-p1_S728,2337,4684
A3-e003Coalescence-mGAM-p7,2326,4649
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,824,1703
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,2337,4677
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,2204,4329
B2-e003Coalescence-Inoculumn-mBHI,2328,4664
B2-e003Coalescence-mBHI-p1_S717,1965,3962
B2-e003Coalescence-mBHI-p3,1798,3546
B2-e003Coalescence-mGAM-p3,2312,4593
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,2292,4588
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,2336,4680
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,2334,4667
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,2338,4684
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,2338,4684
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,2338,4684
E3-e003Coalescence-mBHI-p1_S788,982,1867
E3-e003Coalescence-mBHI-p3_S10,2010,3856
E3-e003Coalescence-mGAM-p1_S792,2337,4684
E3-e003Coalescence-mGAM-p3_S58,2294,4530
E3-e003Coalescence-mGAM-p5_S50,2338,4677
E3-e003Coalescence-mGAM-p7_S146,2335,4674
F2-e003Coalescence-mBHI-p1_S781,1110,2188
F2-e003Coalescence-mBHI-p3_S21,1261,2249
F2-e003Coalescence-mBHI-p5_S13,892,1623
F2-e003Coalescence-mGAM-p1_S785,2335,4684
F2-e003Coalescence-mGAM-p3_S69,2318,4627
F2-e003Coalescence-mGAM-p5_S61,2337,4675
F2-e003Coalescence-mGAM-p7_S157,2331,4651
