,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,1119,872
A4-e003Coalescence-mBHI-p1_S732,1088,815
A4-e003Coalescence-mBHI-p5,1075,807
A4-e003Coalescence-mBHI-p7,955,721
A4-e003Coalescence-mGAM-p1_S736,1118,869
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,1100,852
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,1116,864
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,1114,872
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,1120,871
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,1120,864
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,1120,873
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,1120,873
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,1096,833
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,1120,870
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,1120,873
C2-e003Coalescence-mBHI-inoculumn-redo,1117,868
C2-e003Coalescence-mBHI-p3,1076,818
C2-e003Coalescence-mBHI-p5,401,232
C2-e003Coalescence-mGAM-p1_S722,1119,869
C2-e003Coalescence-mGAM-p3,1106,851
C2-e003Coalescence-mGAM-p5,1117,867
C2-e003Coalescence-mGAM-p7,1116,864
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,1099,848
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,593,385
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,682,447
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,1117,864
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,1086,851
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,1088,833
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,1013,749
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,1119,872
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,1119,865
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,1093,839
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,1098,860
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,1120,872
E4-e003Coalescence-mBHI-p1_S796,380,282
E4-e003Coalescence-mBHI-p3_S11,320,248
E4-e003Coalescence-mBHI-p5_S3,1105,837
E4-e003Coalescence-mBHI-p7_S99,1101,849
E4-e003Coalescence-mGAM-p1_S800,1106,858
E4-e003Coalescence-mGAM-p3_S59,1118,865
E4-e003Coalescence-mGAM-p5_S51,1119,863
E4-e003Coalescence-mGAM-p7_S147,1111,864
G2-e003Coalescence-mBHI-p1_S782,900,649
G2-e003Coalescence-mBHI-p3_S33,388,258
G2-e003Coalescence-mBHI-p5_S25,703,429
G2-e003Coalescence-mGAM-p1_S786,1113,871
G2-e003Coalescence-mGAM-p3_S81,1091,855
G2-e003Coalescence-mGAM-p5_S73,1118,868
