,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B3-e003Coalescence-Inoculumn-mBHI,0.9978943365031946,0.0010160344291482008
C4-e003Coalescence-mBHI-inoculumn-redo,0.02634748669266563,0.9969202581845036
B4-e003Coalescence-Inoculumn-mBHI,0.582,0.41000000000000003
B4-e003Coalescence-mBHI-p3,0.125,0.86
B4-e003Coalescence-mGAM-p5,0.20999999999999996,0.772
C3-e003Coalescence-mBHI-inoculumn-redo,0.582,0.426
C3-e003Coalescence-mBHI-p5,0.878,0.108
C3-e003Coalescence-mBHI-p7,0.663,0.30500000000000005
C3-e003Coalescence-mGAM-p3,0.124,0.883
C3-e003Coalescence-mGAM-p5,0.352,0.643
C3-e003Coalescence-mGAM-p7,0.30300000000000005,0.688
F4-e003Coalescence-mBHI-p3_S23,0.122,0.792
F4-e003Coalescence-mBHI-p5_S15,0.31100000000000005,0.656
F4-e003Coalescence-mBHI-p7_S111,0.379,0.574
F4-e003Coalescence-mGAM-p3_S71,0.154,0.846
F4-e003Coalescence-mGAM-p5_S63,0.5,0.472
F4-e003Coalescence-mGAM-p7_S159,0.141,0.8605
G3-e003Coalescence-mBHI-p3_S34,0.175,0.623
G3-e003Coalescence-mBHI-p5_S26,0.625,0.33099999999999996
G3-e003Coalescence-mBHI-p7_S122,0.725,0.226
G3-e003Coalescence-mGAM-p3_S82,0.186,0.812
G3-e003Coalescence-mGAM-p5_S74,0.3595,0.608
