,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,0.94,0.003232851959605296
C4-e003Coalescence-Inoculumn-mGAM,0.018758347542024264,0.9932924245259812
A10-e003Coalescence-mBHI-p5,0.733,0.1416795330674764
A10-e003Coalescence-mBHI-p7,0.417,0.5
A10-e003Coalescence-mGAM-p3,0.511,0.511
A10-e003Coalescence-mGAM-p7,0.85,0.136
A4-e003Coalescence-Inoculumn-mGAM,0.8180000000000001,0.159
C2-e003Coalescence-Inoculumn-mGAM,0.833,0.143
C8-e003Coalescence-mBHI-p5,0.606,0.36
C8-e003Coalescence-mBHI-p7,0.556,0.353
C8-e003Coalescence-mGAM-p7,0.73,0.268
E100-e003Coalescence-mBHI-p5_S7,0.667,0.278
E100-e003Coalescence-mBHI-p7_S103,0.625,0.273
E100-e003Coalescence-mGAM-p3_S155,0.429,0.6
E100-e003Coalescence-mGAM-p5_S55,0.8180000000000001,0.15800000000000003
E100-e003Coalescence-mGAM-p7_S151,0.891,0.09799999999999998
G8-e003Coalescence-mBHI-p3_S129,0.636,0.333
G8-e003Coalescence-mBHI-p5_S29,0.711,0.259
G8-e003Coalescence-mBHI-p7_S125,0.583,0.364
G8-e003Coalescence-mGAM-p3_S177,0.633,0.377
G8-e003Coalescence-mGAM-p5_S77,0.959,0.03300000000000003
G8-e003Coalescence-mGAM-p7_S173,0.932,0.056
