,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C4-e003Coalescence-Inoculumn-mGAM,3123,26690
D5-e003Coalescence-Inoculumn-mGAM,3123,26690
C11-e003Coalescence-mBHI-p3,3057,26205
C11-e003Coalescence-mBHI-p5,3113,26656
C11-e003Coalescence-mGAM-p3,3121,26676
C11-e003Coalescence-mGAM-p5,3119,26482
C11-e003Coalescence-mGAM-p7,3116,26662
C5-e003Coalescence-Inoculumn-mGAM,3117,26658
D10-e003Coalescence-mBHI-p3,3116,26649
D10-e003Coalescence-mBHI-p5,2899,25529
D10-e003Coalescence-mBHI-p7,3059,26336
D10-e003Coalescence-mGAM-p3,3117,26571
D10-e003Coalescence-mGAM-p5,3123,26662
D10-e003Coalescence-mGAM-p7,3120,26657
D4-e003Coalescence-Inoculumn-mGAM,2987,25761
G111-e003Coalescence-mBHI-p5_S32,3063,26532
G111-e003Coalescence-mBHI-p7_S128,2653,24501
G111-e003Coalescence-mGAM-p3_S180,3101,26073
G111-e003Coalescence-mGAM-p5_S80,3087,25250
G111-e003Coalescence-mGAM-p7_S176,2423,17126
H100-e003Coalescence-mBHI-p5_S43,3092,26604
H100-e003Coalescence-mBHI-p7_S139,3113,26620
H100-e003Coalescence-mGAM-p5_S91,3042,25619
H100-e003Coalescence-mGAM-p7_S187,3050,24925
