,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C4-e003Coalescence-mBHI-inoculumn-redo,2775,21572
D5-e003Coalescence-Inoculumn-mBHI,2775,21572
C5-e003Coalescence-mBHI-inoculumn-redo,2774,21568
C5-e003Coalescence-mBHI-p3,2421,17922
C5-e003Coalescence-mBHI-p5,2762,21505
C5-e003Coalescence-mBHI-p7,2767,21537
C5-e003Coalescence-mGAM-p3,2774,21525
C5-e003Coalescence-mGAM-p7,2762,21383
D4-e003Coalescence-Inoculumn-mBHI,2773,21564
D4-e003Coalescence-mBHI-p3,2743,21142
D4-e003Coalescence-mBHI-p5,2697,20929
D4-e003Coalescence-mBHI-p7,2771,21491
D4-e003Coalescence-mGAM-p3,2772,21528
D4-e003Coalescence-mGAM-p5,2770,21414
D4-e003Coalescence-mGAM-p7,2761,21236
G5-e003Coalescence-mBHI-p3_S36,2735,21227
G5-e003Coalescence-mBHI-p5_S28,2771,21559
G5-e003Coalescence-mBHI-p7_S124,2764,21531
G5-e003Coalescence-mGAM-p3_S84,2765,21442
G5-e003Coalescence-mGAM-p5_S76,2760,21177
G5-e003Coalescence-mGAM-p7_S172,2756,20872
H4-e003Coalescence-mBHI-p3_S47,2766,21471
H4-e003Coalescence-mBHI-p5_S39,2769,21445
H4-e003Coalescence-mBHI-p7_S135,2742,21254
H4-e003Coalescence-mGAM-p3_S95,2754,20932
H4-e003Coalescence-mGAM-p5_S87,2739,20814
H4-e003Coalescence-mGAM-p7_S183,2751,20950
