,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,0.845,0.22199999999999998
D5-e003Coalescence-Inoculumn-mBHI,0.0013609808551745335,0.875
B5-e003Coalescence-Inoculumn-mBHI,0.5595000000000001,0.439
B5-e003Coalescence-mBHI-p3,0.181,0.722
B5-e003Coalescence-mBHI-p5,0.283,0.637
B5-e003Coalescence-mBHI-p7,0.451,0.498
B5-e003Coalescence-mGAM-p3,0.047,0.947
B5-e003Coalescence-mGAM-p5,0.018721481853133402,0.9819153001463065
B5-e003Coalescence-mGAM-p7,0.035106162475939506,0.9579332426895601
D3-e003Coalescence-Inoculumn-mBHI,0.55,0.44099999999999995
D3-e003Coalescence-mBHI-p5,0.346,0.614
D3-e003Coalescence-mBHI-p7,0.473,0.453
D3-e003Coalescence-mGAM-p3,0.091,0.9
D3-e003Coalescence-mGAM-p5,0.039,0.961
F5-e003Coalescence-mBHI-p3_S24,0.219,0.714
F5-e003Coalescence-mBHI-p5_S16,0.273,0.611
F5-e003Coalescence-mBHI-p7_S112,0.474,0.491
F5-e003Coalescence-mGAM-p3_S72,0.03454812928874628,0.9715628204380905
F5-e003Coalescence-mGAM-p5_S64,0.005776863033807022,0.968
F5-e003Coalescence-mGAM-p7_S160,0.076,0.894
H3-e003Coalescence-mBHI-p3_S46,0.231,0.653
H3-e003Coalescence-mBHI-p5_S38,0.25,0.69
H3-e003Coalescence-mBHI-p7_S134,0.444,0.528
H3-e003Coalescence-mGAM-p3_S94,0.014667046120514907,0.948
H3-e003Coalescence-mGAM-p5_S86,0.009589487448386731,0.9924310732708344
H3-e003Coalescence-mGAM-p7_S182,0.035,0.9299999999999999
