,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-mBHI-inoculumn-redo,0.9999801681594366,7.521819785367755e-06
C4-e003Coalescence-mBHI-inoculumn-redo,0.125,0.8545
A4-e003Coalescence-mBHI-inoculumn-redo,0.46099999999999997,0.498
A4-e003Coalescence-mBHI-p3,0.232,0.724
A4-e003Coalescence-mBHI-p5,0.46799999999999997,0.48
A4-e003Coalescence-mBHI-p7,0.5720000000000001,0.381
A4-e003Coalescence-mGAM-p5,0.935,0.001423310835215628
C2-e003Coalescence-mBHI-inoculumn-redo,0.42900000000000005,0.527
C2-e003Coalescence-mBHI-p3,0.18200000000000005,0.789
C2-e003Coalescence-mBHI-p5,0.21799999999999997,0.747
C2-e003Coalescence-mBHI-p7,0.25,0.7
C2-e003Coalescence-mGAM-p3,0.16200000000000003,0.796
C2-e003Coalescence-mGAM-p5,0.253,0.7
C2-e003Coalescence-mGAM-p7,0.18,0.794
E4-e003Coalescence-mBHI-p3_S11,0.30900000000000005,0.636
E4-e003Coalescence-mBHI-p5_S3,0.49,0.448
E4-e003Coalescence-mBHI-p7_S99,0.748,0.197
E4-e003Coalescence-mGAM-p3_S59,0.09399999999999997,0.868
E4-e003Coalescence-mGAM-p5_S51,0.882,0.074
E4-e003Coalescence-mGAM-p7_S147,0.9,0.071
G2-e003Coalescence-mBHI-p3_S33,0.20799999999999996,0.748
G2-e003Coalescence-mBHI-p5_S25,0.272,0.68
G2-e003Coalescence-mBHI-p7_S121,0.32399999999999995,0.618
G2-e003Coalescence-mGAM-p3_S81,0.119,0.843
G2-e003Coalescence-mGAM-p5_S73,0.44699999999999995,0.484
