,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,21587,4269
B3-e003Coalescence-Inoculumn-mBHI,21587,4269
A3-e003Coalescence-mBHI-inoculumn-redo,21454,4239
A3-e003Coalescence-mBHI-p3,21586,4269
A3-e003Coalescence-mGAM-p7,21330,4139
B2-e003Coalescence-Inoculumn-mBHI,21446,4244
B2-e003Coalescence-mBHI-p3,21587,4269
B2-e003Coalescence-mBHI-p5,21482,4227
B2-e003Coalescence-mBHI-p7,21284,4142
B2-e003Coalescence-mGAM-p3,21480,4235
E3-e003Coalescence-mBHI-p3_S10,21566,4265
E3-e003Coalescence-mBHI-p5_S2,21580,4267
E3-e003Coalescence-mGAM-p3_S58,21461,4229
E3-e003Coalescence-mGAM-p5_S50,21465,4216
E3-e003Coalescence-mGAM-p7_S146,21517,4239
F2-e003Coalescence-mBHI-p3_S21,21578,4266
F2-e003Coalescence-mBHI-p5_S13,21583,4268
F2-e003Coalescence-mBHI-p7_S109,13485,2356
F2-e003Coalescence-mGAM-p3_S69,21440,4197
F2-e003Coalescence-mGAM-p5_S61,21389,4160
F2-e003Coalescence-mGAM-p7_S157,21442,4211
