,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,10616,9097
D5-e003Coalescence-Inoculumn-mBHI,10616,9097
A5-e003Coalescence-Inoculumn-mBHI,10468,9003
A5-e003Coalescence-mBHI-inoculumn-redo,10609,9097
A5-e003Coalescence-mBHI-p3,10540,9022
A5-e003Coalescence-mBHI-p7,10604,9086
A5-e003Coalescence-mGAM-p3,10550,9036
D2-e003Coalescence-Inoculumn-mBHI,10577,9084
D2-e003Coalescence-mBHI-p3,10608,9089
D2-e003Coalescence-mBHI-p5,10600,9082
D2-e003Coalescence-mBHI-p7,7135,6099
D2-e003Coalescence-mGAM-p5,10594,9083
E5-e003Coalescence-mBHI-p3_S12,10601,9082
E5-e003Coalescence-mBHI-p5_S4,10586,9051
E5-e003Coalescence-mBHI-p7_S100,10569,9053
E5-e003Coalescence-mGAM-p3_S60,10381,8925
E5-e003Coalescence-mGAM-p5_S52,10518,9031
E5-e003Coalescence-mGAM-p7_S148,10588,9080
H2-e003Coalescence-mBHI-p3_S45,10591,9076
H2-e003Coalescence-mBHI-p7_S133,10587,9074
H2-e003Coalescence-mGAM-p3_S93,10544,9023
H2-e003Coalescence-mGAM-p5_S85,9561,8175
H2-e003Coalescence-mGAM-p7_S181,10610,9095
