,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B3-e003Coalescence-Inoculumn-mBHI,934,11083
C4-e003Coalescence-mBHI-inoculumn-redo,934,11083
B4-e003Coalescence-Inoculumn-mBHI,923,11060
B4-e003Coalescence-mBHI-p3,931,11059
B4-e003Coalescence-mBHI-p5,813,9778
B4-e003Coalescence-mGAM-p5,921,10999
C3-e003Coalescence-mBHI-inoculumn-redo,921,11074
C3-e003Coalescence-mBHI-p5,933,11080
C3-e003Coalescence-mBHI-p7,933,11080
C3-e003Coalescence-mGAM-p3,933,11078
C3-e003Coalescence-mGAM-p5,927,10993
C3-e003Coalescence-mGAM-p7,934,10862
F4-e003Coalescence-mBHI-p3_S23,925,11054
F4-e003Coalescence-mBHI-p5_S15,929,11067
F4-e003Coalescence-mBHI-p7_S111,933,11071
F4-e003Coalescence-mGAM-p3_S71,930,11063
F4-e003Coalescence-mGAM-p5_S63,923,11037
F4-e003Coalescence-mGAM-p7_S159,923,11057
G3-e003Coalescence-mBHI-p3_S34,934,11065
G3-e003Coalescence-mBHI-p5_S26,933,11078
G3-e003Coalescence-mBHI-p7_S122,934,11063
G3-e003Coalescence-mGAM-p3_S82,848,10880
G3-e003Coalescence-mGAM-p5_S74,914,11020
