,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.9999680453185754,9.956118122147584e-06
D5-e003Coalescence-Inoculumn-mBHI,0.000737540714176295,0.87
A5-e003Coalescence-Inoculumn-mBHI,0.573,0.37
A5-e003Coalescence-mBHI-inoculumn-redo,0.575,0.377
A5-e003Coalescence-mBHI-p3,0.18999999999999995,0.789
A5-e003Coalescence-mBHI-p7,0.20599999999999996,0.778
A5-e003Coalescence-mGAM-p3,0.20699999999999996,0.77
D2-e003Coalescence-Inoculumn-mBHI,0.55,0.376
D2-e003Coalescence-mBHI-p3,0.209,0.769
D2-e003Coalescence-mBHI-p5,0.15700000000000003,0.823
D2-e003Coalescence-mBHI-p7,0.09506917647003714,0.8936151076986443
D2-e003Coalescence-mGAM-p5,0.327,0.653
E5-e003Coalescence-mBHI-p3_S12,0.164,0.813
E5-e003Coalescence-mBHI-p5_S4,0.141,0.839
E5-e003Coalescence-mBHI-p7_S100,0.247,0.715
E5-e003Coalescence-mGAM-p3_S60,0.235,0.731
E5-e003Coalescence-mGAM-p5_S52,0.34,0.618
E5-e003Coalescence-mGAM-p7_S148,0.43700000000000006,0.5329999999999999
H2-e003Coalescence-mBHI-p3_S45,0.16700000000000004,0.813
H2-e003Coalescence-mBHI-p7_S133,0.164,0.811
H2-e003Coalescence-mGAM-p3_S93,0.2,0.771
H2-e003Coalescence-mGAM-p5_S85,0.222,0.72
H2-e003Coalescence-mGAM-p7_S181,0.268,0.711
