,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C4-e003Coalescence-Inoculumn-mGAM,4891,19391
D5-e003Coalescence-Inoculumn-mGAM,4891,19391
C11-e003Coalescence-mBHI-p3,4885,19361
C11-e003Coalescence-mBHI-p5,4891,19390
C11-e003Coalescence-mGAM-p3,4888,19368
C11-e003Coalescence-mGAM-p5,4877,19164
C11-e003Coalescence-mGAM-p7,4874,19182
C5-e003Coalescence-Inoculumn-mGAM,4888,19376
D10-e003Coalescence-mBHI-p3,4890,19391
D10-e003Coalescence-mBHI-p5,4889,19387
D10-e003Coalescence-mBHI-p7,4885,19373
D10-e003Coalescence-mGAM-p3,4866,19247
D10-e003Coalescence-mGAM-p5,4877,19256
D10-e003Coalescence-mGAM-p7,4888,19327
D4-e003Coalescence-Inoculumn-mGAM,4720,18736
G111-e003Coalescence-mBHI-p3_S132,3457,13370
G111-e003Coalescence-mBHI-p5_S32,4890,19385
G111-e003Coalescence-mBHI-p7_S128,4885,19381
G111-e003Coalescence-mGAM-p3_S180,4871,19191
G111-e003Coalescence-mGAM-p5_S80,4859,18904
G111-e003Coalescence-mGAM-p7_S176,2789,9744
H100-e003Coalescence-mBHI-p5_S43,4888,19380
H100-e003Coalescence-mBHI-p7_S139,4890,19379
H100-e003Coalescence-mGAM-p5_S91,4839,18832
H100-e003Coalescence-mGAM-p7_S187,4784,18426
