,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,3609,17703
D5-e003Coalescence-Inoculumn-mBHI,3609,17703
B5-e003Coalescence-Inoculumn-mBHI,3608,17698
B5-e003Coalescence-mBHI-p3,3606,17693
B5-e003Coalescence-mBHI-p5,3605,17687
B5-e003Coalescence-mBHI-p7,3609,17702
B5-e003Coalescence-mGAM-p3,3443,17376
B5-e003Coalescence-mGAM-p5,3497,17310
B5-e003Coalescence-mGAM-p7,3376,16926
D3-e003Coalescence-Inoculumn-mBHI,3609,17700
D3-e003Coalescence-mBHI-p5,3605,17685
D3-e003Coalescence-mBHI-p7,3608,17699
D3-e003Coalescence-mGAM-p3,3574,17640
D3-e003Coalescence-mGAM-p5,3591,17655
F5-e003Coalescence-mBHI-p3_S24,3609,17697
F5-e003Coalescence-mBHI-p5_S16,3604,17674
F5-e003Coalescence-mBHI-p7_S112,3601,17678
F5-e003Coalescence-mGAM-p3_S72,3307,16601
F5-e003Coalescence-mGAM-p5_S64,3515,17463
F5-e003Coalescence-mGAM-p7_S160,3541,17518
H3-e003Coalescence-mBHI-p3_S46,3604,17686
H3-e003Coalescence-mBHI-p5_S38,3606,17690
H3-e003Coalescence-mBHI-p7_S134,3603,17687
H3-e003Coalescence-mGAM-p3_S94,3499,17389
H3-e003Coalescence-mGAM-p5_S86,3480,17350
H3-e003Coalescence-mGAM-p7_S182,3499,17477
