,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C4-e003Coalescence-mBHI-inoculumn-redo,12475,17188
D5-e003Coalescence-Inoculumn-mBHI,12475,17188
C5-e003Coalescence-mBHI-inoculumn-redo,12470,17186
C5-e003Coalescence-mBHI-p3,12449,17164
C5-e003Coalescence-mBHI-p5,12473,17188
C5-e003Coalescence-mBHI-p7,12442,17165
C5-e003Coalescence-mGAM-p3,12406,17053
C5-e003Coalescence-mGAM-p7,12301,16971
D4-e003Coalescence-Inoculumn-mBHI,12466,17180
D4-e003Coalescence-mBHI-p3,12465,17178
D4-e003Coalescence-mBHI-p5,12465,17168
D4-e003Coalescence-mBHI-p7,12446,17157
D4-e003Coalescence-mGAM-p3,12343,17004
D4-e003Coalescence-mGAM-p5,12344,16993
D4-e003Coalescence-mGAM-p7,12414,17090
G5-e003Coalescence-mBHI-p3_S36,12462,17176
G5-e003Coalescence-mBHI-p5_S28,12472,17185
G5-e003Coalescence-mBHI-p7_S124,12471,17172
G5-e003Coalescence-mGAM-p3_S84,12329,16878
G5-e003Coalescence-mGAM-p5_S76,12059,16618
G5-e003Coalescence-mGAM-p7_S172,12406,17058
H4-e003Coalescence-mBHI-p3_S47,12410,17146
H4-e003Coalescence-mBHI-p5_S39,12474,17186
H4-e003Coalescence-mBHI-p7_S135,12472,17177
H4-e003Coalescence-mGAM-p3_S95,12210,16840
H4-e003Coalescence-mGAM-p5_S87,12350,16975
H4-e003Coalescence-mGAM-p7_S183,12420,17090
