,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
18,B9-e003Coalescence-mGAM-p5,False,B9-e003Coalescence-mGAM-p5,True,B9,False,5,mGAM,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM
20,B3-e003Coalescence-mBHI-p3,False,B3-e003Coalescence-mBHI-p3,True,B3,False,3,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI
21,D4-e003Coalescence-mBHI-p5,False,D4-e003Coalescence-mBHI-p5,True,D4,False,5,mBHI,mBHI,AF-AE,D4-AF-AE-mBHI-mBHI,AF-AE-mBHI-mBHI,AF-AE-mBHI
22,C2-e003Coalescence-mBHI-p5,False,C2-e003Coalescence-mBHI-p5,True,C2,False,5,mBHI,mBHI,AE-AA,C2-AE-AA-mBHI-mBHI,AE-AA-mBHI-mBHI,AE-AA-mBHI
25,D4-e003Coalescence-mBHI-p3,False,D4-e003Coalescence-mBHI-p3,True,D4,False,3,mBHI,mBHI,AF-AE,D4-AF-AE-mBHI-mBHI,AF-AE-mBHI-mBHI,AF-AE-mBHI
32,B2-e003Coalescence-mBHI-p5,False,B2-e003Coalescence-mBHI-p5,True,B2,False,5,mBHI,mBHI,AC/PP-AA,B2-AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI
36,C4-e003Coalescence-mGAM-p7,False,C4-e003Coalescence-mGAM-p7,True,C4,False,7,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI
39,B2-e003Coalescence-mGAM-p7,False,B2-e003Coalescence-mGAM-p7,True,B2,False,7,mGAM,mBHI,AC/PP-AA,B2-AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI
42,C3-e003Coalescence-mGAM-p3,False,C3-e003Coalescence-mGAM-p3,True,C3,False,3,mGAM,mBHI,AE-AC/PP,C3-AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI
48,C3-e003Coalescence-mBHI-p7,False,C3-e003Coalescence-mBHI-p7,True,C3,False,7,mBHI,mBHI,AE-AC/PP,C3-AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI
49,D11-e003Coalescence-mGAM-p5,False,D11-e003Coalescence-mGAM-p5,True,D11,False,5,mGAM,mGAM,AF-AF,D11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM
50,A11-e003Coalescence-mGAM-p7,False,A11-e003Coalescence-mGAM-p7,True,A11,False,7,mGAM,mGAM,AA-AF,A11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM
51,A3-e003Coalescence-mGAM-p3,False,A3-e003Coalescence-mGAM-p3,True,A3,False,3,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI
52,B8-e003Coalescence-mBHI-p5,False,B8-e003Coalescence-mBHI-p5,True,B8,False,5,mBHI,mGAM,AC/PP-AA,B8-AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM
54,C2-e003Coalescence-mGAM-p7,False,C2-e003Coalescence-mGAM-p7,True,C2,False,7,mGAM,mBHI,AE-AA,C2-AE-AA-mBHI-mGAM,AE-AA-mBHI-mGAM,AE-AA-mBHI
55,D3-e003Coalescence-mBHI-p5,False,D3-e003Coalescence-mBHI-p5,True,D3,False,5,mBHI,mBHI,AF-AC/PP,D3-AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI
56,B11-e003Coalescence-mGAM-p3,False,B11-e003Coalescence-mGAM-p3,True,B11,False,3,mGAM,mGAM,AC/PP-AF,B11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM
59,D2-e003Coalescence-mBHI-p5,False,D2-e003Coalescence-mBHI-p5,True,D2,False,5,mBHI,mBHI,AF-AA,D2-AF-AA-mBHI-mBHI,AF-AA-mBHI-mBHI,AF-AA-mBHI
61,C8-e003Coalescence-mGAM-p5,False,C8-e003Coalescence-mGAM-p5,True,C8,False,5,mGAM,mGAM,AE-AA,C8-AE-AA-mGAM-mGAM,AE-AA-mGAM-mGAM,AE-AA-mGAM
62,D5-e003Coalescence-mGAM-p5,False,D5-e003Coalescence-mGAM-p5,True,D5,False,5,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI
63,B5-e003Coalescence-mBHI-p5,False,B5-e003Coalescence-mBHI-p5,True,B5,False,5,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI
64,D5-e003Coalescence-mBHI-p7,False,D5-e003Coalescence-mBHI-p7,True,D5,False,7,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI
65,C9-e003Coalescence-mBHI-p5,False,C9-e003Coalescence-mBHI-p5,True,C9,False,5,mBHI,mGAM,AE-AC/PP,C9-AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM
66,A10-e003Coalescence-mBHI-p3,False,A10-e003Coalescence-mBHI-p3,True,A10,False,3,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM
67,A5-e003Coalescence-mGAM-p3,False,A5-e003Coalescence-mGAM-p3,True,A5,False,3,mGAM,mBHI,AA-AF,A5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI
