,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
221,D11-e003Coalescence-mGAM-p7,False,D11-e003Coalescence-mGAM-p7,True,D11,False,7,mGAM,mGAM,AF-AF,D11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM
222,D5-e003Coalescence-mGAM-p3,False,D5-e003Coalescence-mGAM-p3,True,D5,False,3,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI
229,A10-e003Coalescence-mGAM-p7,False,A10-e003Coalescence-mGAM-p7,True,A10,False,7,mGAM,mGAM,AA-AE,A10-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM
232,D9-e003Coalescence-mBHI-p5,False,D9-e003Coalescence-mBHI-p5,True,D9,False,5,mBHI,mGAM,AF-AC/PP,D9-AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM
234,D4-e003Coalescence-mGAM-p3,False,D4-e003Coalescence-mGAM-p3,True,D4,False,3,mGAM,mBHI,AF-AE,D4-AF-AE-mBHI-mGAM,AF-AE-mBHI-mGAM,AF-AE-mBHI
235,B9-e003Coalescence-mBHI-p7,False,B9-e003Coalescence-mBHI-p7,True,B9,False,7,mBHI,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM
236,A2-e003Coalescence-mGAM-p5,False,A2-e003Coalescence-mGAM-p5,True,A2,False,5,mGAM,mBHI,AA-AA,A2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI
238,C3-e003Coalescence-mGAM-p7,False,C3-e003Coalescence-mGAM-p7,True,C3,False,7,mGAM,mBHI,AE-AC/PP,C3-AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI
239,A3-e003Coalescence-mGAM-p5,False,A3-e003Coalescence-mGAM-p5,True,A3,False,5,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI
242,B3-e003Coalescence-mGAM-p5,False,B3-e003Coalescence-mGAM-p5,True,B3,False,5,mGAM,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI
243,D9-e003Coalescence-mBHI-p7,False,D9-e003Coalescence-mBHI-p7,True,D9,False,7,mBHI,mGAM,AF-AC/PP,D9-AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM
247,C5-e003Coalescence-mBHI-p7,False,C5-e003Coalescence-mBHI-p7,True,C5,False,7,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI
251,C11-e003Coalescence-mGAM-p7,False,C11-e003Coalescence-mGAM-p7,True,C11,False,7,mGAM,mGAM,AE-AF,C11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM
253,D10-e003Coalescence-mBHI-p7,False,D10-e003Coalescence-mBHI-p7,True,D10,False,7,mBHI,mGAM,AF-AE,D10-AF-AE-mGAM-mBHI,AF-AE-mGAM-mBHI,AF-AE-mGAM
254,C9-e003Coalescence-mBHI-p7,False,C9-e003Coalescence-mBHI-p7,True,C9,False,7,mBHI,mGAM,AE-AC/PP,C9-AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM
255,A2-e003Coalescence-mBHI-p3,False,A2-e003Coalescence-mBHI-p3,True,A2,False,3,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
256,B8-e003Coalescence-mGAM-p5,False,B8-e003Coalescence-mGAM-p5,True,B8,False,5,mGAM,mGAM,AC/PP-AA,B8-AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM
260,B3-e003Coalescence-mBHI-p5,False,B3-e003Coalescence-mBHI-p5,True,B3,False,5,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI
262,A8-e003Coalescence-mGAM-p7,False,A8-e003Coalescence-mGAM-p7,True,A8,False,7,mGAM,mGAM,AA-AA,A8-AA-AA-mGAM-mGAM,AA-AA-mGAM-mGAM,AA-AA-mGAM
265,A11-e003Coalescence-mBHI-p5,False,A11-e003Coalescence-mBHI-p5,True,A11,False,5,mBHI,mGAM,AA-AF,A11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM
266,C10-e003Coalescence-mGAM-p5,False,C10-e003Coalescence-mGAM-p5,True,C10,False,5,mGAM,mGAM,AE-AE,C10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM
270,A3-e003Coalescence-mBHI-p3,False,A3-e003Coalescence-mBHI-p3,True,A3,False,3,mBHI,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI
273,A2-e003Coalescence-mBHI-p5,False,A2-e003Coalescence-mBHI-p5,True,A2,False,5,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
277,C10-e003Coalescence-mBHI-p5,False,C10-e003Coalescence-mBHI-p5,True,C10,False,5,mBHI,mGAM,AE-AE,C10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM
278,B9-e003Coalescence-mBHI-p3,False,B9-e003Coalescence-mBHI-p3,True,B9,False,3,mBHI,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM
281,B5-e003Coalescence-mGAM-p3,False,B5-e003Coalescence-mGAM-p3,True,B5,False,3,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI
282,A3-e003Coalescence-mBHI-p5,False,A3-e003Coalescence-mBHI-p5,True,A3,False,5,mBHI,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI
287,A5-e003Coalescence-mBHI-p3,False,A5-e003Coalescence-mBHI-p3,True,A5,False,3,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
289,A4-e003Coalescence-mBHI-p3,False,A4-e003Coalescence-mBHI-p3,True,A4,False,3,mBHI,mBHI,AA-AE,A4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI
294,C9-e003Coalescence-mGAM-p5,False,C9-e003Coalescence-mGAM-p5,True,C9,False,5,mGAM,mGAM,AE-AC/PP,C9-AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM
296,C2-e003Coalescence-mGAM-p5,False,C2-e003Coalescence-mGAM-p5,True,C2,False,5,mGAM,mBHI,AE-AA,C2-AE-AA-mBHI-mGAM,AE-AA-mBHI-mGAM,AE-AA-mBHI
298,C8-e003Coalescence-mBHI-p5,False,C8-e003Coalescence-mBHI-p5,True,C8,False,5,mBHI,mGAM,AE-AA,C8-AE-AA-mGAM-mBHI,AE-AA-mGAM-mBHI,AE-AA-mGAM
299,B8-e003Coalescence-mGAM-p7,False,B8-e003Coalescence-mGAM-p7,True,B8,False,7,mGAM,mGAM,AC/PP-AA,B8-AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM
303,B8-e003Coalescence-mBHI-p7,False,B8-e003Coalescence-mBHI-p7,True,B8,False,7,mBHI,mGAM,AC/PP-AA,B8-AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM
307,B11-e003Coalescence-mBHI-p3,False,B11-e003Coalescence-mBHI-p3,True,B11,False,3,mBHI,mGAM,AC/PP-AF,B11-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM
309,C4-e003Coalescence-mBHI-p5,False,C4-e003Coalescence-mBHI-p5,True,C4,False,5,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI
316,A11-e003Coalescence-mBHI-p3,False,A11-e003Coalescence-mBHI-p3,True,A11,False,3,mBHI,mGAM,AA-AF,A11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM
319,B2-e003Coalescence-mBHI-p7,False,B2-e003Coalescence-mBHI-p7,True,B2,False,7,mBHI,mBHI,AC/PP-AA,B2-AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI
321,B4-e003Coalescence-mBHI-p3,False,B4-e003Coalescence-mBHI-p3,True,B4,False,3,mBHI,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI
323,C2-e003Coalescence-mBHI-p7,False,C2-e003Coalescence-mBHI-p7,True,C2,False,7,mBHI,mBHI,AE-AA,C2-AE-AA-mBHI-mBHI,AE-AA-mBHI-mBHI,AE-AA-mBHI
324,A9-e003Coalescence-mGAM-p5,False,A9-e003Coalescence-mGAM-p5,True,A9,False,5,mGAM,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM
325,C10-e003Coalescence-mGAM-p7,False,C10-e003Coalescence-mGAM-p7,True,C10,False,7,mGAM,mGAM,AE-AE,C10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM
327,A11-e003Coalescence-mGAM-p3,False,A11-e003Coalescence-mGAM-p3,True,A11,False,3,mGAM,mGAM,AA-AF,A11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM
328,C10-e003Coalescence-mBHI-p3,False,C10-e003Coalescence-mBHI-p3,True,C10,False,3,mBHI,mGAM,AE-AE,C10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM
329,D2-e003Coalescence-mBHI-p3,False,D2-e003Coalescence-mBHI-p3,True,D2,False,3,mBHI,mBHI,AF-AA,D2-AF-AA-mBHI-mBHI,AF-AA-mBHI-mBHI,AF-AA-mBHI
331,H5-e003Coalescence-mBHI-p5_S40,True,H5-e003Coalescence-mBHI-p5,True,H5,False,5,mBHI,mBHI,AF-AF,H5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI
332,E2-e003Coalescence-mGAM-p7_S145,True,E2-e003Coalescence-mGAM-p7,True,E2,False,7,mGAM,mBHI,AA-AA,E2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI
333,G5-e003Coalescence-mBHI-p7_S124,True,G5-e003Coalescence-mBHI-p7,True,G5,False,7,mBHI,mBHI,AE-AF,G5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI
334,H111-e003Coalescence-mGAM-p7_S188,True,H11-e003Coalescence-mGAM-p7,True,H11,False,7,mGAM,mGAM,AF-AF,H11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM
335,H4-e003Coalescence-mGAM-p7_S183,True,H4-e003Coalescence-mGAM-p7,True,H4,False,7,mGAM,mBHI,AF-AE,H4-AF-AE-mBHI-mGAM,AF-AE-mBHI-mGAM,AF-AE-mBHI
336,F5-e003Coalescence-mGAM-p5_S64,True,F5-e003Coalescence-mGAM-p5,True,F5,False,5,mGAM,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI
337,F5-e003Coalescence-mGAM-p7_S160,True,F5-e003Coalescence-mGAM-p7,True,F5,False,7,mGAM,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI
338,F8-e003Coalescence-mBHI-p3_S117,True,F8-e003Coalescence-mBHI-p3,True,F8,False,3,mBHI,mGAM,AC/PP-AA,F8-AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM
339,H3-e003Coalescence-mBHI-p3_S46,True,H3-e003Coalescence-mBHI-p3,True,H3,False,3,mBHI,mBHI,AF-AC/PP,H3-AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI
340,H2-e003Coalescence-mBHI-p7_S133,True,H2-e003Coalescence-mBHI-p7,True,H2,False,7,mBHI,mBHI,AF-AA,H2-AF-AA-mBHI-mBHI,AF-AA-mBHI-mBHI,AF-AA-mBHI
341,E3-e003Coalescence-mBHI-p7_S98,True,E3-e003Coalescence-mBHI-p7,True,E3,False,7,mBHI,mBHI,AA-AC/PP,E3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI
342,E5-e003Coalescence-mBHI-p3_S12,True,E5-e003Coalescence-mBHI-p3,True,E5,False,3,mBHI,mBHI,AA-AF,E5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
343,F100-e003Coalescence-mGAM-p7_S163,True,F10-e003Coalescence-mGAM-p7,True,F10,False,7,mGAM,mGAM,AC/PP-AE,F10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM
344,E111-e003Coalescence-mGAM-p7_S152,True,E11-e003Coalescence-mGAM-p7,True,E11,False,7,mGAM,mGAM,AA-AF,E11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM
345,F9-e003Coalescence-mBHI-p5_S18,True,F9-e003Coalescence-mBHI-p5,True,F9,False,5,mBHI,mGAM,AC/PP-AC/PP,F9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM
346,H3-e003Coalescence-mBHI-p7_S134,True,H3-e003Coalescence-mBHI-p7,True,H3,False,7,mBHI,mBHI,AF-AC/PP,H3-AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI
347,E3-e003Coalescence-mGAM-p3_S58,True,E3-e003Coalescence-mGAM-p3,True,E3,False,3,mGAM,mBHI,AA-AC/PP,E3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI
348,H8-e003Coalescence-mBHI-p3_S141,True,H8-e003Coalescence-mBHI-p3,True,H8,False,3,mBHI,mGAM,AF-AA,H8-AF-AA-mGAM-mBHI,AF-AA-mGAM-mBHI,AF-AA-mGAM
349,G4-e003Coalescence-mBHI-p5_S27,True,G4-e003Coalescence-mBHI-p5,True,G4,False,5,mBHI,mBHI,AE-AE,G4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI
350,E8-e003Coalescence-mBHI-p5_S5,True,E8-e003Coalescence-mBHI-p5,True,E8,False,5,mBHI,mGAM,AA-AA,E8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM
351,G2-e003Coalescence-mBHI-p3_S33,True,G2-e003Coalescence-mBHI-p3,True,G2,False,3,mBHI,mBHI,AE-AA,G2-AE-AA-mBHI-mBHI,AE-AA-mBHI-mBHI,AE-AA-mBHI
352,F100-e003Coalescence-mBHI-p3_S119,True,F10-e003Coalescence-mBHI-p3,True,F10,False,3,mBHI,mGAM,AC/PP-AE,F10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM
353,E9-e003Coalescence-mBHI-p5_S6,True,E9-e003Coalescence-mBHI-p5,True,E9,False,5,mBHI,mGAM,AA-AC/PP,E9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM
354,G3-e003Coalescence-mGAM-p7_S170,True,G3-e003Coalescence-mGAM-p7,True,G3,False,7,mGAM,mBHI,AE-AC/PP,G3-AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI
355,H111-e003Coalescence-mBHI-p3_S144,True,H11-e003Coalescence-mBHI-p3,True,H11,False,3,mBHI,mGAM,AF-AF,H11-AF-AF-mGAM-mBHI,AF-AF-mGAM-mBHI,AF-AF-mGAM
356,G111-e003Coalescence-mGAM-p5_S80,True,G11-e003Coalescence-mGAM-p5,True,G11,False,5,mGAM,mGAM,AE-AF,G11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM
357,G100-e003Coalescence-mGAM-p3_S179,True,G10-e003Coalescence-mGAM-p3,True,G10,False,3,mGAM,mGAM,AE-AE,G10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM
358,F111-e003Coalescence-mGAM-p5_S68,True,F11-e003Coalescence-mGAM-p5,True,F11,False,5,mGAM,mGAM,AC/PP-AF,F11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM
359,G111-e003Coalescence-mBHI-p5_S32,True,G11-e003Coalescence-mBHI-p5,True,G11,False,5,mBHI,mGAM,AE-AF,G11-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AE-AF-mGAM
360,G5-e003Coalescence-mBHI-p3_S36,True,G5-e003Coalescence-mBHI-p3,True,G5,False,3,mBHI,mBHI,AE-AF,G5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI
361,H2-e003Coalescence-mGAM-p7_S181,True,H2-e003Coalescence-mGAM-p7,True,H2,False,7,mGAM,mBHI,AF-AA,H2-AF-AA-mBHI-mGAM,AF-AA-mBHI-mGAM,AF-AA-mBHI
362,H9-e003Coalescence-mGAM-p3_S190,True,H9-e003Coalescence-mGAM-p3,True,H9,False,3,mGAM,mGAM,AF-AC/PP,H9-AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM
363,F2-e003Coalescence-mBHI-p7_S109,True,F2-e003Coalescence-mBHI-p7,True,F2,False,7,mBHI,mBHI,AC/PP-AA,F2-AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI
364,E3-e003Coalescence-mBHI-p3_S10,True,E3-e003Coalescence-mBHI-p3,True,E3,False,3,mBHI,mBHI,AA-AC/PP,E3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI
365,H2-e003Coalescence-mGAM-p5_S85,True,H2-e003Coalescence-mGAM-p5,True,H2,False,5,mGAM,mBHI,AF-AA,H2-AF-AA-mBHI-mGAM,AF-AA-mBHI-mGAM,AF-AA-mBHI
366,G8-e003Coalescence-mGAM-p3_S177,True,G8-e003Coalescence-mGAM-p3,True,G8,False,3,mGAM,mGAM,AE-AA,G8-AE-AA-mGAM-mGAM,AE-AA-mGAM-mGAM,AE-AA-mGAM
367,H111-e003Coalescence-mBHI-p7_S140,True,H11-e003Coalescence-mBHI-p7,True,H11,False,7,mBHI,mGAM,AF-AF,H11-AF-AF-mGAM-mBHI,AF-AF-mGAM-mBHI,AF-AF-mGAM
368,F2-e003Coalescence-mGAM-p7_S157,True,F2-e003Coalescence-mGAM-p7,True,F2,False,7,mGAM,mBHI,AC/PP-AA,F2-AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI
369,H3-e003Coalescence-mGAM-p3_S94,True,H3-e003Coalescence-mGAM-p3,True,H3,False,3,mGAM,mBHI,AF-AC/PP,H3-AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI
370,H8-e003Coalescence-mGAM-p3_S189,True,H8-e003Coalescence-mGAM-p3,True,H8,False,3,mGAM,mGAM,AF-AA,H8-AF-AA-mGAM-mGAM,AF-AA-mGAM-mGAM,AF-AA-mGAM
371,H4-e003Coalescence-mGAM-p3_S95,True,H4-e003Coalescence-mGAM-p3,True,H4,False,3,mGAM,mBHI,AF-AE,H4-AF-AE-mBHI-mGAM,AF-AE-mBHI-mGAM,AF-AE-mBHI
372,E5-e003Coalescence-mBHI-p7_S100,True,E5-e003Coalescence-mBHI-p7,True,E5,False,7,mBHI,mBHI,AA-AF,E5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
373,G111-e003Coalescence-mBHI-p3_S132,True,G11-e003Coalescence-mBHI-p3,True,G11,False,3,mBHI,mGAM,AE-AF,G11-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AE-AF-mGAM
374,F3-e003Coalescence-mGAM-p3_S70,True,F3-e003Coalescence-mGAM-p3,True,F3,False,3,mGAM,mBHI,AC/PP-AC/PP,F3-AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI
375,E100-e003Coalescence-mBHI-p7_S103,True,E10-e003Coalescence-mBHI-p7,True,E10,False,7,mBHI,mGAM,AA-AE,E10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM
376,F9-e003Coalescence-mGAM-p5_S66,True,F9-e003Coalescence-mGAM-p5,True,F9,False,5,mGAM,mGAM,AC/PP-AC/PP,F9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM
377,G111-e003Coalescence-mGAM-p7_S176,True,G11-e003Coalescence-mGAM-p7,True,G11,False,7,mGAM,mGAM,AE-AF,G11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM
378,H100-e003Coalescence-mGAM-p7_S187,True,H10-e003Coalescence-mGAM-p7,True,H10,False,7,mGAM,mGAM,AF-AE,H10-AF-AE-mGAM-mGAM,AF-AE-mGAM-mGAM,AF-AE-mGAM
379,E100-e003Coalescence-mGAM-p3_S155,True,E10-e003Coalescence-mGAM-p3,True,E10,False,3,mGAM,mGAM,AA-AE,E10-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM
380,E3-e003Coalescence-mGAM-p5_S50,True,E3-e003Coalescence-mGAM-p5,True,E3,False,5,mGAM,mBHI,AA-AC/PP,E3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI
381,F5-e003Coalescence-mGAM-p3_S72,True,F5-e003Coalescence-mGAM-p3,True,F5,False,3,mGAM,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI
382,E9-e003Coalescence-mBHI-p7_S102,True,E9-e003Coalescence-mBHI-p7,True,E9,False,7,mBHI,mGAM,AA-AC/PP,E9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM
383,E5-e003Coalescence-mBHI-p5_S4,True,E5-e003Coalescence-mBHI-p5,True,E5,False,5,mBHI,mBHI,AA-AF,E5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
384,F111-e003Coalescence-mGAM-p7_S164,True,F11-e003Coalescence-mGAM-p7,True,F11,False,7,mGAM,mGAM,AC/PP-AF,F11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM
385,E111-e003Coalescence-mBHI-p5_S8,True,E11-e003Coalescence-mBHI-p5,True,E11,False,5,mBHI,mGAM,AA-AF,E11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM
386,H100-e003Coalescence-mBHI-p5_S43,True,H10-e003Coalescence-mBHI-p5,True,H10,False,5,mBHI,mGAM,AF-AE,H10-AF-AE-mGAM-mBHI,AF-AE-mGAM-mBHI,AF-AE-mGAM
387,G2-e003Coalescence-mGAM-p7_S169,True,G2-e003Coalescence-mGAM-p7,True,G2,False,7,mGAM,mBHI,AE-AA,G2-AE-AA-mBHI-mGAM,AE-AA-mBHI-mGAM,AE-AA-mBHI
388,F2-e003Coalescence-mGAM-p5_S61,True,F2-e003Coalescence-mGAM-p5,True,F2,False,5,mGAM,mBHI,AC/PP-AA,F2-AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI
389,F5-e003Coalescence-mBHI-p5_S16,True,F5-e003Coalescence-mBHI-p5,True,F5,False,5,mBHI,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI
390,F8-e003Coalescence-mGAM-p5_S65,True,F8-e003Coalescence-mGAM-p5,True,F8,False,5,mGAM,mGAM,AC/PP-AA,F8-AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM
391,H8-e003Coalescence-mBHI-p7_S137,True,H8-e003Coalescence-mBHI-p7,True,H8,False,7,mBHI,mGAM,AF-AA,H8-AF-AA-mGAM-mBHI,AF-AA-mGAM-mBHI,AF-AA-mGAM
392,E111-e003Coalescence-mGAM-p3_S156,True,E11-e003Coalescence-mGAM-p3,True,E11,False,3,mGAM,mGAM,AA-AF,E11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM
393,H5-e003Coalescence-mBHI-p3_S48,True,H5-e003Coalescence-mBHI-p3,True,H5,False,3,mBHI,mBHI,AF-AF,H5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI
394,G9-e003Coalescence-mGAM-p5_S78,True,G9-e003Coalescence-mGAM-p5,True,G9,False,5,mGAM,mGAM,AE-AC/PP,G9-AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM
395,E2-e003Coalescence-mBHI-p5_S1,True,E2-e003Coalescence-mBHI-p5,True,E2,False,5,mBHI,mBHI,AA-AA,E2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
396,E2-e003Coalescence-mBHI-p3_S9,True,E2-e003Coalescence-mBHI-p3,True,E2,False,3,mBHI,mBHI,AA-AA,E2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
397,G8-e003Coalescence-mGAM-p5_S77,True,G8-e003Coalescence-mGAM-p5,True,G8,False,5,mGAM,mGAM,AE-AA,G8-AE-AA-mGAM-mGAM,AE-AA-mGAM-mGAM,AE-AA-mGAM
398,G3-e003Coalescence-mBHI-p3_S34,True,G3-e003Coalescence-mBHI-p3,True,G3,False,3,mBHI,mBHI,AE-AC/PP,G3-AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI
399,G100-e003Coalescence-mBHI-p5_S31,True,G10-e003Coalescence-mBHI-p5,True,G10,False,5,mBHI,mGAM,AE-AE,G10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM
400,F9-e003Coalescence-mBHI-p3_S118,True,F9-e003Coalescence-mBHI-p3,True,F9,False,3,mBHI,mGAM,AC/PP-AC/PP,F9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM
