	sample_name	midas_outdir
124	E3-e004Assembly-mGAM-p3	workflow/out/midas2_output
125	C3-e003Coalescence-mGAM-p5	workflow/out/midas2_output
126	D9-e003Coalescence-mBHI-p7	workflow/out/midas2_output
127	B10-e003Assembly-mGAM-p3	workflow/out/midas2_output
128	D3-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
129	e003-inoculumn-fecal-inoculumn	workflow/out/midas2_output
130	B3-e003Coalescence-mBHI-p7	workflow/out/midas2_output
131	C9-e003Coalescence-mBHI-p3	workflow/out/midas2_output
132	C2-e004Assembly-mBHI-p3	workflow/out/midas2_output
133	A11-e003Coalescence-mGAM-p7	workflow/out/midas2_output
134	D11-e003Coalescence-mGAM-p7	workflow/out/midas2_output
135	E4-e004Assembly-mGAM-p5	workflow/out/midas2_output
136	D5-e003Coalescence-mGAM-p3	workflow/out/midas2_output
137	A5-e003Coalescence-mBHI-p7	workflow/out/midas2_output
138	D5-e004Assembly-mGAM-p7	workflow/out/midas2_output
139	A4-e003Coalescence-mBHI-p3	workflow/out/midas2_output
140	C2-e003Coalescence-mGAM-p5	workflow/out/midas2_output
141	B5-e004Assembly-mBHI-p7	workflow/out/midas2_output
142	BB-Fecal	workflow/out/midas2_output
143	D4-e003Coalescence-mGAM-p5	workflow/out/midas2_output
144	B5-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
145	B4-e003Coalescence-mGAM-p5	workflow/out/midas2_output
146	A5-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
147	C8-e003Assembly-mGAM-p5	workflow/out/midas2_output
148	B10-e003Coalescence-mBHI-p3	workflow/out/midas2_output
149	C2-e004Assembly-mBHI-p7	workflow/out/midas2_output
150	A2-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
151	D11-e003Coalescence-mBHI-p5	workflow/out/midas2_output
152	C4-e003Coalescence-mBHI-p5	workflow/out/midas2_output
153	B2-e004Assembly-mBHI-p5	workflow/out/midas2_output
154	C10-e003Assembly-mGAM-p3	workflow/out/midas2_output
155	C3-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
156	A4-e003Coalescence-mBHI-inoculumn-redo	workflow/out/midas2_output
157	C3-e003Coalescence-mBHI-p3	workflow/out/midas2_output
158	A10-e003Coalescence-mBHI-p3	workflow/out/midas2_output
159	A9-e003Coalescence-mGAM-p7	workflow/out/midas2_output
160	C10-e003Coalescence-mGAM-p7	workflow/out/midas2_output
161	F3-e004Assembly-epsilon-p3	workflow/out/midas2_output
162	C4-e003Coalescence-mBHI-inoculumn-redo	workflow/out/midas2_output
163	B9-e003Coalescence-mBHI-p3	workflow/out/midas2_output
164	A3-e003Coalescence-mGAM-p7	workflow/out/midas2_output
165	C11-e003Assembly-mGAM-p5	workflow/out/midas2_output
166	D5-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
167	D4-e003Coalescence-mBHI-p3	workflow/out/midas2_output
168	F2-e004Assembly-epsilon-p3	workflow/out/midas2_output
169	B2-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
170	C4-e004Assembly-mBHI-p5	workflow/out/midas2_output
171	C9-e003Coalescence-mGAM-p7	workflow/out/midas2_output
172	D4-e003Coalescence-mBHI-p7	workflow/out/midas2_output
173	B8-e003Coalescence-mBHI-p5	workflow/out/midas2_output
174	e003-inoculumn-fecal-AF	workflow/out/midas2_output
175	D3-e004Assembly-mGAM-p7	workflow/out/midas2_output
176	C3-e003Coalescence-mBHI-p7	workflow/out/midas2_output
177	C8-e003GlycerolRevival-mGAM-p2	workflow/out/midas2_output
178	B3-e004Assembly-mBHI-p7	workflow/out/midas2_output
179	E4-e004Assembly-mGAM-p7	workflow/out/midas2_output
180	e004-inoculumn-fecal-BE	workflow/out/midas2_output
181	B10-e003Assembly-mGAM-p5	workflow/out/midas2_output
182	B2-e003Coalescence-mGAM-p7	workflow/out/midas2_output
183	B9-e003Assembly-mGAM-p5	workflow/out/midas2_output
184	G2-e004Assembly-epsilon-p5	workflow/out/midas2_output
185	A11-e003Coalescence-mGAM-p3	workflow/out/midas2_output
186	C3-e003Assembly-mBHI-p5	workflow/out/midas2_output
187	E5-e004Assembly-mGAM-p5	workflow/out/midas2_output
188	C5-e003Coalescence-mBHI-p5	workflow/out/midas2_output
189	C11-e003Coalescence-mBHI-p3	workflow/out/midas2_output
190	B2-e003Coalescence-mGAM-p3	workflow/out/midas2_output
191	B8-e003Assembly-mGAM-p3	workflow/out/midas2_output
192	BK-Fecal	workflow/out/midas2_output
193	A3-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
194	A3-e003Coalescence-mBHI-p7	workflow/out/midas2_output
195	B5-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
196	C5-e003Assembly-mBHI-p5	workflow/out/midas2_output
197	C4-e003Coalescence-mGAM-p7	workflow/out/midas2_output
198	D11-e003Assembly-mGAM-p3	workflow/out/midas2_output
199	B3-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
200	D3-e003Assembly-mBHI-p5	workflow/out/midas2_output
201	B8-e003Assembly-mGAM-p5	workflow/out/midas2_output
202	D10-e003Coalescence-mBHI-p3	workflow/out/midas2_output
203	A12-e003Coalescence-mGAM-p3	workflow/out/midas2_output
204	C12-e003Coalescence-mBHI-p3	workflow/out/midas2_output
205	A8-e003Coalescence-mBHI-p7	workflow/out/midas2_output
206	B5-e003Coalescence-mBHI-p3	workflow/out/midas2_output
207	D5-e004Assembly-mGAM-p3	workflow/out/midas2_output
208	C4-e003Coalescence-mBHI-p3	workflow/out/midas2_output
209	C8-e003Coalescence-mBHI-p7	workflow/out/midas2_output
210	B4-e003Coalescence-mBHI-p3	workflow/out/midas2_output
211	E2-e004Assembly-mGAM-p7	workflow/out/midas2_output
212	D9-e003Coalescence-mGAM-p7	workflow/out/midas2_output
213	A2-e003Coalescence-mBHI-p3	workflow/out/midas2_output
214	C9-e003Assembly-mGAM-p5	workflow/out/midas2_output
215	D3-e003Coalescence-mGAM-p3	workflow/out/midas2_output
216	G3-e004Assembly-epsilon-p5	workflow/out/midas2_output
217	B10-e003Coalescence-mGAM-p3	workflow/out/midas2_output
218	E5-e004Assembly-mGAM-p3	workflow/out/midas2_output
219	C4-e003GlycerolRevival-mBHI-p2	workflow/out/midas2_output
220	D2-e003Assembly-mBHI-p3	workflow/out/midas2_output
221	D10-e003Coalescence-mBHI-p5	workflow/out/midas2_output
222	C8-e003Coalescence-mGAM-p7	workflow/out/midas2_output
223	D2-e004Assembly-mGAM-p5	workflow/out/midas2_output
224	D12-e003Coalescence-mBHI-p3	workflow/out/midas2_output
225	D5-e003Coalescence-mBHI-p3	workflow/out/midas2_output
226	G2-e004Assembly-epsilon-p7	workflow/out/midas2_output
227	B3-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
228	D4-e003Coalescence-mGAM-p7	workflow/out/midas2_output
229	A2-e003Coalescence-mBHI-inoculumn-redo	workflow/out/midas2_output
230	F4-e004Assembly-epsilon-p5	workflow/out/midas2_output
231	G5-e004Assembly-epsilon-p5	workflow/out/midas2_output
232	G5-e004Assembly-epsilon-p3	workflow/out/midas2_output
233	B10-e003Coalescence-mBHI-p5	workflow/out/midas2_output
234	D5-e004Assembly-mGAM-p5	workflow/out/midas2_output
235	D8-e003Assembly-mGAM-p3	workflow/out/midas2_output
236	D4-e004Assembly-mGAM-p7	workflow/out/midas2_output
237	E3-e004Assembly-mGAM-p5	workflow/out/midas2_output
238	C5-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
239	A10-e003Coalescence-mBHI-p7	workflow/out/midas2_output
240	C4-e003Coalescence-mGAM-p3	workflow/out/midas2_output
241	C4-e003Assembly-mBHI-p3	workflow/out/midas2_output
242	B3-e003Assembly-mBHI-p3	workflow/out/midas2_output
243	B2-e003Coalescence-mBHI-p7	workflow/out/midas2_output
244	C10-e003Coalescence-mGAM-p3	workflow/out/midas2_output
245	D4-e004Assembly-mGAM-p5	workflow/out/midas2_output
246	F3-e004Assembly-epsilon-p7	workflow/out/midas2_output
247	D9-e003Coalescence-mGAM-p3	workflow/out/midas2_output
248	B4-e003Assembly-mBHI-p3	workflow/out/midas2_output
249	A9-e003Coalescence-mGAM-p5	workflow/out/midas2_output
250	C9-e003Coalescence-mBHI-p7	workflow/out/midas2_output
251	D5-e003Coalescence-mBHI-p7	workflow/out/midas2_output
252	G2-e004Assembly-epsilon-p3	workflow/out/midas2_output
253	D4-e003Coalescence-mGAM-p3	workflow/out/midas2_output
254	A11-e003Coalescence-mBHI-p7	workflow/out/midas2_output
255	e003-inoculumn-fecal-AE	workflow/out/midas2_output
256	B5-e004Assembly-mBHI-p5	workflow/out/midas2_output
257	C5-e004Assembly-mBHI-p7	workflow/out/midas2_output
258	E2-e004Assembly-mGAM-p5	workflow/out/midas2_output
259	B11-e003Coalescence-mGAM-p7	workflow/out/midas2_output
260	D3-e003Assembly-mBHI-p3	workflow/out/midas2_output
261	B4-e003Assembly-mBHI-p5	workflow/out/midas2_output
262	e004-inoculumn-fecal-AK	workflow/out/midas2_output
263	D3-e003Coalescence-mGAM-p5	workflow/out/midas2_output
264	A2-e003Coalescence-mGAM-p7	workflow/out/midas2_output
265	F3-e004Assembly-epsilon-p5	workflow/out/midas2_output
266	C4-e004Assembly-mBHI-p7	workflow/out/midas2_output
267	D11-e003Assembly-mGAM-p5	workflow/out/midas2_output
268	D8-e003Coalescence-mGAM-p5	workflow/out/midas2_output
269	C10-e003Coalescence-mBHI-p5	workflow/out/midas2_output
270	A8-e003Coalescence-mBHI-p3	workflow/out/midas2_output
271	A3-e003Coalescence-mGAM-p3	workflow/out/midas2_output
272	B8-e003Coalescence-mGAM-p5	workflow/out/midas2_output
273	C5-e004Assembly-mBHI-p3	workflow/out/midas2_output
274	B12-e003Coalescence-mGAM-p3	workflow/out/midas2_output
275	B11-e003Coalescence-mGAM-p3	workflow/out/midas2_output
276	C8-e003Coalescence-mBHI-p5	workflow/out/midas2_output
277	B3-e003Coalescence-mBHI-p3	workflow/out/midas2_output
278	A4-e003Coalescence-mGAM-p3	workflow/out/midas2_output
279	C2-e003Assembly-mBHI-p5	workflow/out/midas2_output
280	C4-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
