,read1,read2,trim1,trim2,filter1,filter2,SampleLane,Sample
0,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B10-e003Coalescence-mGAM-p1_S769_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B10-e003Coalescence-mGAM-p1_S769_R2_001.fastq.gz,workflow/out/trimmed/B10-e003Coalescence-mGAM-p1_S769-trimmed-pair1.fastq.gz,workflow/out/trimmed/B10-e003Coalescence-mGAM-p1_S769-trimmed-pair2.fastq.gz,workflow/out/filter/B10-e003Coalescence-mGAM-p1_S769-filtered.1.fastq.gz,workflow/out/filter/B10-e003Coalescence-mGAM-p1_S769-filtered.2.fastq.gz,B10-e003Coalescence-mGAM-p1_S769,B10-e003Coalescence-mGAM-p1
1,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/C2-e003Coalescence-mBHI-p1_S718_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/C2-e003Coalescence-mBHI-p1_S718_R2_001.fastq.gz,workflow/out/trimmed/C2-e003Coalescence-mBHI-p1_S718-trimmed-pair1.fastq.gz,workflow/out/trimmed/C2-e003Coalescence-mBHI-p1_S718-trimmed-pair2.fastq.gz,workflow/out/filter/C2-e003Coalescence-mBHI-p1_S718-filtered.1.fastq.gz,workflow/out/filter/C2-e003Coalescence-mBHI-p1_S718-filtered.2.fastq.gz,C2-e003Coalescence-mBHI-p1_S718,C2-e003Coalescence-mBHI-p1
2,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Assembly-G12-fecal-AA-fecal-0_S703_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Assembly-G12-fecal-AA-fecal-0_S703_R2_001.fastq.gz,workflow/out/trimmed/Assembly-G12-fecal-AA-fecal-0_S703-trimmed-pair1.fastq.gz,workflow/out/trimmed/Assembly-G12-fecal-AA-fecal-0_S703-trimmed-pair2.fastq.gz,workflow/out/filter/Assembly-G12-fecal-AA-fecal-0_S703-filtered.1.fastq.gz,workflow/out/filter/Assembly-G12-fecal-AA-fecal-0_S703-filtered.2.fastq.gz,Assembly-G12-fecal-AA-fecal-0_S703,Assembly-G12-fecal-AA-fecal-0
3,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656-filtered.1.fastq.gz,workflow/out/filter/Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656-filtered.2.fastq.gz,Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5
4,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B3-e003Coalescence-mGAM-p1_S729_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B3-e003Coalescence-mGAM-p1_S729_R2_001.fastq.gz,workflow/out/trimmed/B3-e003Coalescence-mGAM-p1_S729-trimmed-pair1.fastq.gz,workflow/out/trimmed/B3-e003Coalescence-mGAM-p1_S729-trimmed-pair2.fastq.gz,workflow/out/filter/B3-e003Coalescence-mGAM-p1_S729-filtered.1.fastq.gz,workflow/out/filter/B3-e003Coalescence-mGAM-p1_S729-filtered.2.fastq.gz,B3-e003Coalescence-mGAM-p1_S729,B3-e003Coalescence-mGAM-p1
5,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G5-e003Coalescence-mBHI-p1_S806_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G5-e003Coalescence-mBHI-p1_S806_R2_001.fastq.gz,workflow/out/trimmed/G5-e003Coalescence-mBHI-p1_S806-trimmed-pair1.fastq.gz,workflow/out/trimmed/G5-e003Coalescence-mBHI-p1_S806-trimmed-pair2.fastq.gz,workflow/out/filter/G5-e003Coalescence-mBHI-p1_S806-filtered.1.fastq.gz,workflow/out/filter/G5-e003Coalescence-mBHI-p1_S806-filtered.2.fastq.gz,G5-e003Coalescence-mBHI-p1_S806,G5-e003Coalescence-mBHI-p1
6,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652-filtered.1.fastq.gz,workflow/out/filter/Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652-filtered.2.fastq.gz,Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652,Coalescence-C9-A8-AA-AA-mGAM-mGAM-5
7,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681-filtered.1.fastq.gz,workflow/out/filter/Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681-filtered.2.fastq.gz,Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681,Coalescence-F2-E10-AA-AE-mGAM-mBHI-3
8,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0_S709_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0_S709_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0_S709-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0_S709-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0_S709-filtered.1.fastq.gz,workflow/out/filter/Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0_S709-filtered.2.fastq.gz,Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0_S709,Coalescence-H6-C2-e003Coalescence-inoculumn-mBHIREDO-0
9,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7_S628_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7_S628_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7_S628-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7_S628-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7_S628-filtered.1.fastq.gz,workflow/out/filter/Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7_S628-filtered.2.fastq.gz,Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7_S628,Coalescence-A9-B4-ACPP-AE-mBHI-mGAM-7
