,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,10291,9815
B3-e003Coalescence-Inoculumn-mBHI,10291,9815
A3-e003Coalescence-mBHI-inoculumn-redo,10240,9760
A3-e003Coalescence-mBHI-p3,10276,9810
A3-e003Coalescence-mBHI-p7,10278,9780
B2-e003Coalescence-Inoculumn-mBHI,9368,8782
B2-e003Coalescence-mBHI-p3,10287,9814
B2-e003Coalescence-mBHI-p5,10259,9799
B2-e003Coalescence-mBHI-p7,10127,9759
B2-e003Coalescence-mGAM-p3,10289,9808
E3-e003Coalescence-mBHI-p3_S10,10032,9742
E3-e003Coalescence-mBHI-p5_S2,9997,9737
E3-e003Coalescence-mGAM-p3_S58,10271,9770
E3-e003Coalescence-mGAM-p5_S50,10260,9719
E3-e003Coalescence-mGAM-p7_S146,10211,9547
F2-e003Coalescence-mBHI-p3_S21,10009,9746
F2-e003Coalescence-mBHI-p5_S13,9993,9742
F2-e003Coalescence-mGAM-p5_S61,9119,8116
F2-e003Coalescence-mGAM-p7_S157,10207,9535
