,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,8242,6225
D5-e003Coalescence-Inoculumn-mBHI,8242,6225
A5-e003Coalescence-Inoculumn-mBHI,8153,6177
A5-e003Coalescence-mBHI-inoculumn-redo,8242,6225
A5-e003Coalescence-mBHI-p3,8232,6217
A5-e003Coalescence-mBHI-p7,8223,6214
A5-e003Coalescence-mGAM-p3,8213,6216
D2-e003Coalescence-Inoculumn-mBHI,8241,6225
D2-e003Coalescence-mBHI-p3,8239,6222
D2-e003Coalescence-mBHI-p5,8171,6189
D2-e003Coalescence-mGAM-p5,8239,6225
E5-e003Coalescence-mBHI-p3_S12,8240,6223
E5-e003Coalescence-mBHI-p5_S4,8227,6205
E5-e003Coalescence-mBHI-p7_S100,8135,6153
E5-e003Coalescence-mGAM-p7_S148,8218,6212
H2-e003Coalescence-mBHI-p3_S45,3934,2950
H2-e003Coalescence-mBHI-p7_S133,8225,6212
H2-e003Coalescence-mGAM-p3_S93,8213,6195
H2-e003Coalescence-mGAM-p5_S85,7812,5799
H2-e003Coalescence-mGAM-p7_S181,8218,6217
