,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,0.9999098993024607,2.2581264787726765e-05
D5-e003Coalescence-Inoculumn-mBHI,0.0009413981297676693,0.876
B5-e003Coalescence-Inoculumn-mBHI,0.604,0.34
B5-e003Coalescence-mBHI-p3,0.027,0.953
B5-e003Coalescence-mBHI-p5,0.028,0.962
B5-e003Coalescence-mBHI-p7,0.019,0.978
B5-e003Coalescence-mGAM-p3,0.116,0.844
B5-e003Coalescence-mGAM-p5,0.12778502425368057,0.8604155812998401
B5-e003Coalescence-mGAM-p7,0.05995884634583887,0.9302792530460511
D3-e003Coalescence-Inoculumn-mBHI,0.596,0.349
D3-e003Coalescence-mBHI-p5,0.035,0.933
D3-e003Coalescence-mBHI-p7,0.06888879999727658,0.921517297716008
D3-e003Coalescence-mGAM-p3,0.15,0.81
D3-e003Coalescence-mGAM-p5,0.09399999999999997,0.887
F5-e003Coalescence-mBHI-p3_S24,0.021,0.959
F5-e003Coalescence-mBHI-p5_S16,0.0028775120215717973,0.976
F5-e003Coalescence-mBHI-p7_S112,0.0022084451949729795,0.9969996401298276
F5-e003Coalescence-mGAM-p5_S64,0.106,0.852
F5-e003Coalescence-mGAM-p7_S160,0.03400000000000003,0.9410000000000001
H3-e003Coalescence-mBHI-p3_S46,0.03394079442934304,0.9548125384483603
H3-e003Coalescence-mBHI-p5_S38,0.024,0.957
H3-e003Coalescence-mBHI-p7_S134,0.000993909140068464,0.9986015906002871
H3-e003Coalescence-mGAM-p3_S94,0.12,0.841
H3-e003Coalescence-mGAM-p5_S86,0.082,0.882
H3-e003Coalescence-mGAM-p7_S182,0.086,0.89
