,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,28494,649
D5-e003Coalescence-Inoculumn-mBHI,28494,649
B5-e003Coalescence-Inoculumn-mBHI,28088,641
B5-e003Coalescence-mBHI-p3,7388,156
B5-e003Coalescence-mGAM-p3,28077,630
B5-e003Coalescence-mGAM-p5,28005,639
B5-e003Coalescence-mGAM-p7,28166,640
D3-e003Coalescence-Inoculumn-mBHI,28492,649
D3-e003Coalescence-mGAM-p3,27590,642
D3-e003Coalescence-mGAM-p5,28460,649
F5-e003Coalescence-mGAM-p3_S72,28293,643
F5-e003Coalescence-mGAM-p5_S64,27690,633
F5-e003Coalescence-mGAM-p7_S160,28260,644
H3-e003Coalescence-mBHI-p3_S46,7864,190
H3-e003Coalescence-mGAM-p3_S94,27293,616
H3-e003Coalescence-mGAM-p5_S86,27919,638
H3-e003Coalescence-mGAM-p7_S182,28161,643
