,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,0.9998193518522329,4.4159322451393395e-05
D5-e003Coalescence-Inoculumn-mGAM,1.835211592030137e-05,0.9998885938508638
A11-e003Coalescence-mBHI-p3,0.8,0.188
A11-e003Coalescence-mBHI-p5,0.643,0.333
A11-e003Coalescence-mBHI-p7,0.9000791055894974,0.0941946258193967
A11-e003Coalescence-mGAM-p3,0.9931944362851493,0.006253177939587626
A11-e003Coalescence-mGAM-p7,0.998584635547483,0.0012023730487821988
A5-e003Coalescence-Inoculumn-mGAM,0.593,0.382
D2-e003Coalescence-Inoculumn-mGAM,0.593,0.391
D8-e003Coalescence-mBHI-p5,0.46199999999999997,0.526
D8-e003Coalescence-mGAM-p5,0.997916647312142,0.001516202265270399
E111-e003Coalescence-mBHI-p3_S108,0.9513904651982361,0.04136771524251651
E111-e003Coalescence-mBHI-p5_S8,0.267,0.667
E111-e003Coalescence-mBHI-p7_S104,0.611,0.35
E111-e003Coalescence-mGAM-p5_S56,0.9991417651280593,0.00046076019546530827
H8-e003Coalescence-mBHI-p5_S41,0.864,0.103
H8-e003Coalescence-mBHI-p7_S137,0.905,0.02680372968837156
H8-e003Coalescence-mGAM-p5_S89,0.999050525079721,0.00029685889876337736
H8-e003Coalescence-mGAM-p7_S185,0.99977635118384,7.515062435541158e-05
