,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,2762,722
C4-e003Coalescence-Inoculumn-mGAM,2762,722
A10-e003Coalescence-mBHI-p5,1899,514
A10-e003Coalescence-mBHI-p7,2451,654
A10-e003Coalescence-mGAM-p3,2762,722
A4-e003Coalescence-Inoculumn-mGAM,2762,722
C2-e003Coalescence-Inoculumn-mGAM,2747,718
C8-e003Coalescence-mBHI-p5,2750,719
C8-e003Coalescence-mBHI-p7,2333,620
C8-e003Coalescence-mGAM-p7,2719,719
E100-e003Coalescence-mBHI-p5_S7,2616,708
E100-e003Coalescence-mBHI-p7_S103,2699,720
E100-e003Coalescence-mGAM-p3_S155,2727,719
E100-e003Coalescence-mGAM-p5_S55,2701,714
E100-e003Coalescence-mGAM-p7_S151,2592,686
G8-e003Coalescence-mBHI-p3_S129,2733,720
G8-e003Coalescence-mBHI-p5_S29,2700,711
G8-e003Coalescence-mBHI-p7_S125,2683,712
G8-e003Coalescence-mGAM-p3_S177,2693,706
G8-e003Coalescence-mGAM-p5_S77,2592,693
G8-e003Coalescence-mGAM-p7_S173,2726,718
