,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,675.0,717.0
A3-e003Coalescence-mBHI-p3,2534.0,2668.0
B2-e003Coalescence-Inoculumn-mBHI,1172.0,1436.0
B2-e003Coalescence-mBHI-p3,3002.0,3003.0
B2-e003Coalescence-mBHI-p5,2325.0,2367.0
B2-e003Coalescence-mBHI-p7,249.0,285.0
E3-e003Coalescence-mBHI-p3_S10,2513.0,2817.0
E3-e003Coalescence-mBHI-p5_S2,2821.0,3040.0
E3-e003Coalescence-mGAM-p5_S50,165.0,172.0
E3-e003Coalescence-mGAM-p7_S146,119.0,172.0
F2-e003Coalescence-mBHI-p3_S21,1299.0,1327.0
F2-e003Coalescence-mBHI-p5_S13,5380.0,5939.0
F2-e003Coalescence-mBHI-p7_S109,107.0,217.0
F2-e003Coalescence-mGAM-p5_S61,102.0,46.0
