,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,2,4
C9-e003Coalescence-mGAM-p3,4,4
D2-e004Assembly-mGAM-p7,3,4
B5-e004Assembly-mBHI-p3,2,2
C11-e003Coalescence-mBHI-p3,4,4
D11-e003Coalescence-mBHI-p5,4,4
C9-e003Coalescence-mGAM-p7,4,4
C8-e003Coalescence-mGAM-p7,4,4
D10-e003Coalescence-mBHI-p3,4,4
B2-e003Coalescence-mBHI-p3,4,3
A8-e003Coalescence-mBHI-p3,4,4
A4-e003Coalescence-mBHI-p7,3,3
B9-e003Coalescence-mGAM-p5,4,4
A4-e003Coalescence-mBHI-inoculumn-redo,4,4
B3-e003Coalescence-mBHI-p3,4,4
D4-e003Coalescence-mBHI-p5,1,1
B5-e004Assembly-mBHI-p7,3,4
D4-e003Coalescence-mBHI-p3,0,3
C4-e003GlycerolRevival-mBHI-p2,4,4
G5-e004Assembly-epsilon-p3,4,3
C5-e004Assembly-mBHI-p3,2,3
D10-e003Assembly-mGAM-p5,4,4
B2-e003Assembly-mBHI-p5,0,2
B2-e003Coalescence-mBHI-p5,2,3
B8-e003Assembly-mGAM-p5,3,3
F4-e004Assembly-epsilon-p5,1,2
C4-e003Coalescence-mGAM-p7,4,4
B12-e003Coalescence-mBHI-p3,4,1
e004-inoculumn-fecal-AK,3,4
C8-e003Assembly-mGAM-p3,1,3
C3-e003Coalescence-mGAM-p3,4,4
B4-e003Assembly-mBHI-p5,3,4
D4-e004Assembly-mGAM-p5,4,4
D3-e003Coalescence-Inoculumn-mBHI,4,4
C8-e003Assembly-mGAM-p5,1,1
C3-e003Coalescence-mBHI-p7,4,4
D11-e003Coalescence-mGAM-p5,4,4
A11-e003Coalescence-mGAM-p7,4,4
B8-e003Coalescence-mBHI-p5,4,4
B10-e003Assembly-mGAM-p5,4,4
C2-e003Coalescence-mGAM-p7,4,4
D3-e003Coalescence-mBHI-p5,4,4
B11-e003Coalescence-mGAM-p3,4,4
C4-e003Coalescence-mBHI-inoculumn-redo,3,4
B5-e003Assembly-mBHI-p5,3,4
D2-e003Coalescence-mBHI-p5,4,4
D8-e003Assembly-mGAM-p5,1,3
D5-e003Coalescence-mGAM-p5,4,4
B5-e003Coalescence-mBHI-p5,4,3
D5-e003Coalescence-mBHI-p7,4,3
C9-e003Coalescence-mBHI-p5,2,4
A5-e003Coalescence-mGAM-p3,4,4
A2-e003Coalescence-Inoculumn-mGAM,4,4
E5-e004Assembly-mGAM-p5,4,4
D8-e003Coalescence-mGAM-p5,4,4
A12-e003Coalescence-mGAM-p3,4,4
C2-e003Coalescence-mBHI-p3,2,3
C4-e004Assembly-mBHI-p5,1,1
D9-e003Coalescence-mGAM-p7,4,4
D4-e003Coalescence-mBHI-p7,3,4
D8-e003Assembly-mGAM-p3,3,1
E4-e004Assembly-mGAM-p7,4,4
E3-e004Assembly-mGAM-p3,4,3
D2-e004Assembly-mGAM-p3,3,4
B10-e003Coalescence-mGAM-p3,4,4
A9-e003Coalescence-mGAM-p7,4,4
D5-e004Assembly-mGAM-p5,2,4
B5-e003Coalescence-Inoculumn-mGAM,4,4
D10-e003Coalescence-mBHI-p5,4,4
D5-e003Coalescence-mBHI-p3,2,4
D9-e003Coalescence-mGAM-p5,4,4
C9-e003Coalescence-mBHI-p3,4,4
D10-e003Coalescence-mGAM-p5,4,4
C8-e003Coalescence-mBHI-p7,2,4
B11-e003Assembly-mGAM-p5,4,4
B4-e003Coalescence-mGAM-p5,4,4
D4-e003Coalescence-mGAM-p5,4,4
B5-e003Coalescence-mGAM-p5,4,4
BB-Fecal,1,4
B5-e003Coalescence-Inoculumn-mBHI,4,4
C2-e003Coalescence-mGAM-p3,4,3
B5-e003Coalescence-mGAM-p7,4,4
D8-e003Coalescence-mBHI-p5,4,3
E5-e004Assembly-mGAM-p7,4,4
C10-e003Assembly-mGAM-p3,2,4
B10-e003Coalescence-mBHI-p5,3,4
D5-e003Coalescence-Inoculumn-mGAM,4,4
B5-e003Coalescence-mBHI-p3,4,3
G4-e004Assembly-epsilon-p5,2,3
C4-e003Coalescence-mGAM-p5,4,4
C5-e003Coalescence-mGAM-p7,4,4
C5-e003Coalescence-mBHI-inoculumn-redo,4,4
A2-e003Coalescence-mBHI-p7,4,2
A10-e003Coalescence-mBHI-p5,4,3
BF-Fecal,1,3
A4-e003Coalescence-mGAM-p5,4,4
D5-e003Coalescence-mBHI-p5,4,4
D3-e003Assembly-mBHI-p3,4,4
