,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.6666666666666666,0.4
C9-e003Coalescence-mGAM-p3,1.0,0.6
D2-e004Assembly-mGAM-p7,0.6666666666666666,0.4
B5-e004Assembly-mBHI-p3,0.3333333333333333,0.2
C11-e003Coalescence-mBHI-p3,0.3333333333333333,0.4
D11-e003Coalescence-mBHI-p5,0.0,0.0
C9-e003Coalescence-mGAM-p7,1.0,0.6
C8-e003Coalescence-mGAM-p7,1.0,0.6
D10-e003Coalescence-mBHI-p3,0.0,0.0
B2-e003Coalescence-mBHI-p3,1.0,0.8
A8-e003Coalescence-mBHI-p3,0.6666666666666666,1.0
A4-e003Coalescence-mBHI-p7,1.0,0.4
B9-e003Coalescence-mGAM-p5,1.0,0.8
A4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.6
B3-e003Coalescence-mBHI-p3,1.0,0.8
D4-e003Coalescence-mBHI-p5,0.0,0.0
B5-e004Assembly-mBHI-p7,0.3333333333333333,0.6
D4-e003Coalescence-mBHI-p3,0.3333333333333333,0.0
C4-e003GlycerolRevival-mBHI-p2,1.0,0.6
G5-e004Assembly-epsilon-p3,0.6666666666666666,0.4
C5-e004Assembly-mBHI-p3,0.0,0.6
D10-e003Assembly-mGAM-p5,1.0,0.6
B2-e003Assembly-mBHI-p5,0.0,0.2
B2-e003Coalescence-mBHI-p5,0.6666666666666666,0.0
B8-e003Assembly-mGAM-p5,0.3333333333333333,0.8
F4-e004Assembly-epsilon-p5,0.6666666666666666,0.8
C4-e003Coalescence-mGAM-p7,1.0,0.6
B12-e003Coalescence-mBHI-p3,0.3333333333333333,0.4
e004-inoculumn-fecal-AK,0.6666666666666666,0.6
C8-e003Assembly-mGAM-p3,0.3333333333333333,1.0
C3-e003Coalescence-mGAM-p3,1.0,0.6
B4-e003Assembly-mBHI-p5,1.0,0.6
D4-e004Assembly-mGAM-p5,0.3333333333333333,0.6
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.0
C8-e003Assembly-mGAM-p5,0.0,0.8
C3-e003Coalescence-mBHI-p7,1.0,0.8
D11-e003Coalescence-mGAM-p5,0.0,0.0
A11-e003Coalescence-mGAM-p7,0.0,0.0
B8-e003Coalescence-mBHI-p5,1.0,0.8
