,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.0,0.0
C9-e003Coalescence-mGAM-p3,0.0,0.0
D2-e004Assembly-mGAM-p7,0.5,1.0
B5-e004Assembly-mBHI-p3,0.08333333333333333,0.125
C11-e003Coalescence-mBHI-p3,0.0,0.0
D11-e003Coalescence-mBHI-p5,0.0,0.875
C9-e003Coalescence-mGAM-p7,0.0,0.0
C8-e003Coalescence-mGAM-p7,0.0,0.0
D10-e003Coalescence-mBHI-p3,0.0,0.0
B2-e003Coalescence-mBHI-p3,0.3333333333333333,1.0
A8-e003Coalescence-mBHI-p3,0.8333333333333334,1.0
A4-e003Coalescence-mBHI-p7,0.0,0.0
B9-e003Coalescence-mGAM-p5,0.08333333333333333,1.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
B3-e003Coalescence-mBHI-p3,0.4166666666666667,1.0
D4-e003Coalescence-mBHI-p5,0.0,0.5
B5-e004Assembly-mBHI-p7,0.6666666666666666,0.25
D4-e003Coalescence-mBHI-p3,0.0,0.0
C4-e003GlycerolRevival-mBHI-p2,0.0,0.25
G5-e004Assembly-epsilon-p3,0.6666666666666666,0.25
C5-e004Assembly-mBHI-p3,0.25,0.125
D10-e003Assembly-mGAM-p5,0.0,0.0
B2-e003Assembly-mBHI-p5,0.5833333333333334,0.25
B2-e003Coalescence-mBHI-p5,0.16666666666666666,0.375
B8-e003Assembly-mGAM-p5,0.5833333333333334,0.25
F4-e004Assembly-epsilon-p5,0.75,0.875
C4-e003Coalescence-mGAM-p7,0.0,0.0
B12-e003Coalescence-mBHI-p3,0.0,0.25
e004-inoculumn-fecal-AK,0.5,1.0
C8-e003Assembly-mGAM-p3,0.5833333333333334,0.5
C3-e003Coalescence-mGAM-p3,0.0,0.0
B4-e003Assembly-mBHI-p5,0.0,0.0
D4-e004Assembly-mGAM-p5,0.9166666666666666,0.5
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.875
C8-e003Assembly-mGAM-p5,0.4166666666666667,0.75
C3-e003Coalescence-mBHI-p7,0.08333333333333333,1.0
D11-e003Coalescence-mGAM-p5,0.0,0.625
A11-e003Coalescence-mGAM-p7,0.0,0.875
B8-e003Coalescence-mBHI-p5,0.4166666666666667,1.0
B10-e003Assembly-mGAM-p5,0.0,0.0
C2-e003Coalescence-mGAM-p7,0.0,0.0
D3-e003Coalescence-mBHI-p5,0.16666666666666666,1.0
B11-e003Coalescence-mGAM-p3,0.0,0.75
C4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
B5-e003Assembly-mBHI-p5,0.0,0.75
D2-e003Coalescence-mBHI-p5,0.0,0.625
D8-e003Assembly-mGAM-p5,0.75,0.25
D5-e003Coalescence-mGAM-p5,0.0,0.75
B5-e003Coalescence-mBHI-p5,0.0,0.875
D5-e003Coalescence-mBHI-p7,0.08333333333333333,1.0
C9-e003Coalescence-mBHI-p5,0.25,1.0
A5-e003Coalescence-mGAM-p3,0.0,1.0
A2-e003Coalescence-Inoculumn-mGAM,0.8333333333333334,1.0
E5-e004Assembly-mGAM-p5,0.6666666666666666,0.375
D8-e003Coalescence-mGAM-p5,0.0,0.75
A12-e003Coalescence-mGAM-p3,0.0,0.875
C2-e003Coalescence-mBHI-p3,0.0,0.0
C4-e004Assembly-mBHI-p5,0.5833333333333334,0.625
D9-e003Coalescence-mGAM-p7,0.0,1.0
D4-e003Coalescence-mBHI-p7,0.0,0.625
D8-e003Assembly-mGAM-p3,0.25,0.25
E4-e004Assembly-mGAM-p7,0.9166666666666666,0.5
E3-e004Assembly-mGAM-p3,0.5,0.875
D2-e004Assembly-mGAM-p3,0.5,1.0
B10-e003Coalescence-mGAM-p3,0.0,0.0
A9-e003Coalescence-mGAM-p7,0.4166666666666667,1.0
D5-e004Assembly-mGAM-p5,0.5833333333333334,0.375
B5-e003Coalescence-Inoculumn-mGAM,0.0,0.75
D10-e003Coalescence-mBHI-p5,0.0,0.625
D5-e003Coalescence-mBHI-p3,0.0,1.0
D9-e003Coalescence-mGAM-p5,0.0,0.875
C9-e003Coalescence-mBHI-p3,0.08333333333333333,1.0
D10-e003Coalescence-mGAM-p5,0.0,0.0
C8-e003Coalescence-mBHI-p7,0.0,0.0
B11-e003Assembly-mGAM-p5,0.0,1.0
B4-e003Coalescence-mGAM-p5,0.0,0.0
D4-e003Coalescence-mGAM-p5,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0,0.875
BB-Fecal,0.5833333333333334,0.875
B5-e003Coalescence-Inoculumn-mBHI,0.0,0.875
C2-e003Coalescence-mGAM-p3,0.0,0.0
B5-e003Coalescence-mGAM-p7,0.0,0.875
D8-e003Coalescence-mBHI-p5,0.0,1.0
E5-e004Assembly-mGAM-p7,0.6666666666666666,0.375
C10-e003Assembly-mGAM-p3,0.0,0.125
B10-e003Coalescence-mBHI-p5,0.16666666666666666,1.0
D5-e003Coalescence-Inoculumn-mGAM,0.0,0.5
B5-e003Coalescence-mBHI-p3,0.0,0.75
G4-e004Assembly-epsilon-p5,0.9166666666666666,0.5
C4-e003Coalescence-mGAM-p5,0.0,0.0
C5-e003Coalescence-mGAM-p7,0.0,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
A2-e003Coalescence-mBHI-p7,0.25,0.375
A10-e003Coalescence-mBHI-p5,0.16666666666666666,0.0
BF-Fecal,0.4166666666666667,0.5
A4-e003Coalescence-mGAM-p5,0.0,0.875
D5-e003Coalescence-mBHI-p5,0.0,0.0
D3-e003Assembly-mBHI-p3,0.4166666666666667,0.0
D4-e003Coalescence-mGAM-p7,0.0,0.0
E4-e004Assembly-mGAM-p3,0.9166666666666666,0.5
A8-e003Coalescence-mBHI-p7,0.8333333333333334,1.0
e003-inoculumn-fecal-AC,0.0,0.0
E3-e004Assembly-mGAM-p7,0.5,0.875
B9-e003GlycerolRevival-mGAM-p2,0.16666666666666666,1.0
C4-e003Coalescence-mGAM-p3,0.0,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.0,1.0
D5-e003Coalescence-mGAM-p7,0.0,0.875
C5-e003Coalescence-mBHI-p5,0.0,0.0
C5-e003Coalescence-mGAM-p3,0.0,0.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.4166666666666667,0.0
D9-e003Assembly-mGAM-p5,0.16666666666666666,0.875
B12-e003Coalescence-mGAM-p3,0.3333333333333333,1.0
A11-e003Coalescence-mBHI-p7,0.0,0.875
A3-e003Coalescence-Inoculumn-mGAM,0.25,1.0
D10-e003Assembly-mGAM-p3,0.0,0.0
C3-e003Coalescence-mGAM-p5,0.0,0.0
B4-e004Assembly-mBHI-p5,0.4166666666666667,0.25
C10-e003GlycerolRevival-mGAM-p2,0.0,0.0
D3-e003Assembly-mBHI-p5,0.16666666666666666,1.0
A10-e003Coalescence-mGAM-p3,0.0,0.0
A9-e003Coalescence-mBHI-p3,0.0,1.0
A2-e003Coalescence-Inoculumn-mBHI,0.8333333333333334,1.0
D3-e003Coalescence-mBHI-p7,0.0,0.75
C3-e003Coalescence-mBHI-p5,0.3333333333333333,1.0
D11-e003Assembly-mGAM-p3,0.0,1.0
D2-e003Assembly-mBHI-p3,0.8333333333333334,1.0
B3-e003Assembly-mBHI-p5,0.16666666666666666,0.375
A9-e003Coalescence-mBHI-p5,0.4166666666666667,0.5
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.875
B2-e003Coalescence-mGAM-p3,0.4166666666666667,1.0
C11-e003Coalescence-mGAM-p5,0.0,0.0
G4-e004Assembly-epsilon-p3,0.75,0.5
B3-e003Coalescence-Inoculumn-mBHI,0.3333333333333333,0.75
A8-e003Coalescence-mBHI-p5,0.8333333333333334,0.875
D5-e004Assembly-mGAM-p7,0.6666666666666666,0.375
C2-e003Assembly-mBHI-p5,0.5,0.5
D5-e003Assembly-mBHI-p5,0.0,1.0
A5-e003Coalescence-mBHI-p7,0.0,0.875
BG-Fecal,0.9166666666666666,0.375
D2-e003Coalescence-mGAM-p5,0.0,0.75
B9-e003Assembly-mGAM-p5,0.0,1.0
D3-e003Coalescence-mGAM-p3,0.0,0.125
D9-e003Coalescence-mGAM-p3,0.0,0.875
E2-e004Assembly-mGAM-p7,0.5,1.0
D3-e003Coalescence-mGAM-p5,0.0,0.25
C10-e003Coalescence-mGAM-p3,0.0,0.0
A5-e003Coalescence-mBHI-inoculumn-redo,0.08333333333333333,1.0
B11-e003Assembly-mGAM-p3,0.0,0.875
D2-e003Assembly-mBHI-p5,0.4166666666666667,1.0
B9-e003Coalescence-mGAM-p7,0.25,1.0
B11-e003Coalescence-mGAM-p7,0.08333333333333333,1.0
C3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B5-e003Coalescence-mBHI-p7,0.0,1.0
A3-e003Coalescence-mGAM-p7,0.4166666666666667,1.0
D4-e003Coalescence-Inoculumn-mBHI,0.0,0.0
D10-e003Coalescence-mGAM-p7,0.0,0.0
C12-e003Coalescence-mGAM-p3,0.0,0.0
C11-e003Coalescence-mGAM-p3,0.0,0.0
D5-e004Assembly-mGAM-p3,0.6666666666666666,0.375
A10-e003Coalescence-mBHI-p7,0.0,0.0
C10-e003Coalescence-mBHI-p7,0.0,0.0
B9-e003Coalescence-mBHI-p5,0.16666666666666666,1.0
F4-e004Assembly-epsilon-p3,0.8333333333333334,0.5
B10-e003Coalescence-mBHI-p3,0.25,0.5
C11-e003Coalescence-mBHI-p5,0.0,0.0
A2-e003Coalescence-mGAM-p7,0.8333333333333334,1.0
