,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,2,5
C9-e003Coalescence-mGAM-p3,3,5
D2-e004Assembly-mGAM-p7,2,3
B5-e004Assembly-mBHI-p3,1,1
C11-e003Coalescence-mBHI-p3,3,4
D11-e003Coalescence-mBHI-p5,3,5
C9-e003Coalescence-mGAM-p7,3,5
C8-e003Coalescence-mGAM-p7,3,5
D10-e003Coalescence-mBHI-p3,2,5
B2-e003Coalescence-mBHI-p3,3,5
A8-e003Coalescence-mBHI-p3,2,5
A4-e003Coalescence-mBHI-p7,3,2
B9-e003Coalescence-mGAM-p5,3,5
A4-e003Coalescence-mBHI-inoculumn-redo,3,5
B3-e003Coalescence-mBHI-p3,3,5
D4-e003Coalescence-mBHI-p5,1,1
B5-e004Assembly-mBHI-p7,1,4
D4-e003Coalescence-mBHI-p3,2,2
C4-e003GlycerolRevival-mBHI-p2,3,4
G5-e004Assembly-epsilon-p3,2,3
C5-e004Assembly-mBHI-p3,0,3
D10-e003Assembly-mGAM-p5,3,4
B2-e003Assembly-mBHI-p5,0,1
B2-e003Coalescence-mBHI-p5,2,0
B8-e003Assembly-mGAM-p5,1,4
F4-e004Assembly-epsilon-p5,2,4
C4-e003Coalescence-mGAM-p7,3,5
B12-e003Coalescence-mBHI-p3,1,2
e004-inoculumn-fecal-AK,2,4
C8-e003Assembly-mGAM-p3,1,5
C3-e003Coalescence-mGAM-p3,3,4
B4-e003Assembly-mBHI-p5,3,4
D4-e004Assembly-mGAM-p5,1,4
D3-e003Coalescence-Inoculumn-mBHI,3,5
C8-e003Assembly-mGAM-p5,0,4
C3-e003Coalescence-mBHI-p7,3,4
D11-e003Coalescence-mGAM-p5,3,5
A11-e003Coalescence-mGAM-p7,3,5
B8-e003Coalescence-mBHI-p5,3,5
B10-e003Assembly-mGAM-p5,3,5
C2-e003Coalescence-mGAM-p7,3,4
D3-e003Coalescence-mBHI-p5,2,1
B11-e003Coalescence-mGAM-p3,3,5
C4-e003Coalescence-mBHI-inoculumn-redo,3,4
B5-e003Assembly-mBHI-p5,3,2
D2-e003Coalescence-mBHI-p5,3,4
D8-e003Assembly-mGAM-p5,1,4
D5-e003Coalescence-mGAM-p5,2,5
B5-e003Coalescence-mBHI-p5,2,1
D5-e003Coalescence-mBHI-p7,3,5
C9-e003Coalescence-mBHI-p5,3,4
A5-e003Coalescence-mGAM-p3,3,5
A2-e003Coalescence-Inoculumn-mGAM,2,5
E5-e004Assembly-mGAM-p5,2,4
D8-e003Coalescence-mGAM-p5,3,5
A12-e003Coalescence-mGAM-p3,3,5
C2-e003Coalescence-mBHI-p3,3,2
C4-e004Assembly-mBHI-p5,0,3
D9-e003Coalescence-mGAM-p7,3,5
D4-e003Coalescence-mBHI-p7,3,4
D8-e003Assembly-mGAM-p3,1,2
E4-e004Assembly-mGAM-p7,1,4
E3-e004Assembly-mGAM-p3,3,3
D2-e004Assembly-mGAM-p3,3,4
B10-e003Coalescence-mGAM-p3,3,5
A9-e003Coalescence-mGAM-p7,3,4
D5-e004Assembly-mGAM-p5,2,2
B5-e003Coalescence-Inoculumn-mGAM,3,5
D10-e003Coalescence-mBHI-p5,3,5
D5-e003Coalescence-mBHI-p3,3,5
D9-e003Coalescence-mGAM-p5,3,5
C9-e003Coalescence-mBHI-p3,3,5
D10-e003Coalescence-mGAM-p5,3,5
C8-e003Coalescence-mBHI-p7,3,4
B11-e003Assembly-mGAM-p5,3,5
B4-e003Coalescence-mGAM-p5,3,5
D4-e003Coalescence-mGAM-p5,3,5
B5-e003Coalescence-mGAM-p5,3,5
BB-Fecal,3,3
B5-e003Coalescence-Inoculumn-mBHI,3,5
C2-e003Coalescence-mGAM-p3,3,4
B5-e003Coalescence-mGAM-p7,2,5
D8-e003Coalescence-mBHI-p5,2,5
E5-e004Assembly-mGAM-p7,3,4
C10-e003Assembly-mGAM-p3,3,5
B10-e003Coalescence-mBHI-p5,3,5
D5-e003Coalescence-Inoculumn-mGAM,3,5
B5-e003Coalescence-mBHI-p3,2,4
G4-e004Assembly-epsilon-p5,2,5
C4-e003Coalescence-mGAM-p5,3,4
C5-e003Coalescence-mGAM-p7,3,5
C5-e003Coalescence-mBHI-inoculumn-redo,3,5
A2-e003Coalescence-mBHI-p7,0,4
A10-e003Coalescence-mBHI-p5,3,2
BF-Fecal,0,4
A4-e003Coalescence-mGAM-p5,3,5
D5-e003Coalescence-mBHI-p5,3,5
D3-e003Assembly-mBHI-p3,1,2
D4-e003Coalescence-mGAM-p7,3,5
E4-e004Assembly-mGAM-p3,1,4
A8-e003Coalescence-mBHI-p7,2,5
e003-inoculumn-fecal-AC,0,1
E3-e004Assembly-mGAM-p7,3,3
B9-e003GlycerolRevival-mGAM-p2,3,5
C4-e003Coalescence-mGAM-p3,3,5
B2-e003Coalescence-Inoculumn-mGAM,3,5
D5-e003Coalescence-mGAM-p7,2,5
C5-e003Coalescence-mBHI-p5,3,5
C5-e003Coalescence-mGAM-p3,3,5
A3-e003Coalescence-mBHI-inoculumn-redo,1,2
D9-e003Assembly-mGAM-p5,3,5
B12-e003Coalescence-mGAM-p3,3,4
A11-e003Coalescence-mBHI-p7,2,5
A3-e003Coalescence-Inoculumn-mGAM,3,5
D10-e003Assembly-mGAM-p3,3,4
C3-e003Coalescence-mGAM-p5,3,5
B4-e004Assembly-mBHI-p5,2,2
C10-e003GlycerolRevival-mGAM-p2,3,5
D3-e003Assembly-mBHI-p5,3,5
A10-e003Coalescence-mGAM-p3,3,5
A9-e003Coalescence-mBHI-p3,3,5
A2-e003Coalescence-Inoculumn-mBHI,2,5
D3-e003Coalescence-mBHI-p7,3,5
C3-e003Coalescence-mBHI-p5,3,5
D11-e003Assembly-mGAM-p3,3,5
D2-e003Assembly-mBHI-p3,2,5
B3-e003Assembly-mBHI-p5,1,1
A9-e003Coalescence-mBHI-p5,2,3
D5-e003Coalescence-Inoculumn-mBHI,3,5
B2-e003Coalescence-mGAM-p3,3,4
C11-e003Coalescence-mGAM-p5,3,5
G4-e004Assembly-epsilon-p3,2,5
B3-e003Coalescence-Inoculumn-mBHI,2,2
A8-e003Coalescence-mBHI-p5,2,5
D5-e004Assembly-mGAM-p7,1,4
C2-e003Assembly-mBHI-p5,1,2
D5-e003Assembly-mBHI-p5,3,4
A5-e003Coalescence-mBHI-p7,3,5
BG-Fecal,2,3
D2-e003Coalescence-mGAM-p5,3,5
B9-e003Assembly-mGAM-p5,3,5
D3-e003Coalescence-mGAM-p3,3,5
D9-e003Coalescence-mGAM-p3,3,5
E2-e004Assembly-mGAM-p7,2,3
