,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.25,1.0
C9-e003Coalescence-mGAM-p3,0.75,1.0
D2-e004Assembly-mGAM-p7,0.0,1.0
B5-e004Assembly-mBHI-p3,0.0,0.5
C11-e003Coalescence-mBHI-p3,0.75,1.0
D11-e003Coalescence-mBHI-p5,0.75,1.0
C9-e003Coalescence-mGAM-p7,0.75,1.0
C8-e003Coalescence-mGAM-p7,0.75,1.0
D10-e003Coalescence-mBHI-p3,0.75,1.0
B2-e003Coalescence-mBHI-p3,0.75,0.75
A8-e003Coalescence-mBHI-p3,0.0,0.0
A4-e003Coalescence-mBHI-p7,0.5,0.75
B9-e003Coalescence-mGAM-p5,0.75,1.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.25
B3-e003Coalescence-mBHI-p3,0.75,1.0
D4-e003Coalescence-mBHI-p5,0.25,0.25
B5-e004Assembly-mBHI-p7,0.0,1.0
D4-e003Coalescence-mBHI-p3,0.0,0.75
C4-e003GlycerolRevival-mBHI-p2,0.75,1.0
G5-e004Assembly-epsilon-p3,0.0,0.75
C5-e004Assembly-mBHI-p3,0.0,0.75
D10-e003Assembly-mGAM-p5,0.75,1.0
B2-e003Assembly-mBHI-p5,0.0,0.0
B2-e003Coalescence-mBHI-p5,0.25,0.75
B8-e003Assembly-mGAM-p5,0.0,0.0
F4-e004Assembly-epsilon-p5,0.0,0.5
C4-e003Coalescence-mGAM-p7,0.75,1.0
B12-e003Coalescence-mBHI-p3,0.75,0.25
e004-inoculumn-fecal-AK,0.0,1.0
C8-e003Assembly-mGAM-p3,0.0,0.25
C3-e003Coalescence-mGAM-p3,0.75,1.0
B4-e003Assembly-mBHI-p5,0.5,1.0
D4-e004Assembly-mGAM-p5,0.25,1.0
D3-e003Coalescence-Inoculumn-mBHI,0.75,1.0
C8-e003Assembly-mGAM-p5,0.0,0.25
C3-e003Coalescence-mBHI-p7,0.75,1.0
D11-e003Coalescence-mGAM-p5,0.75,1.0
A11-e003Coalescence-mGAM-p7,0.75,0.75
B8-e003Coalescence-mBHI-p5,0.75,1.0
B10-e003Assembly-mGAM-p5,0.75,1.0
C2-e003Coalescence-mGAM-p7,0.75,1.0
D3-e003Coalescence-mBHI-p5,0.75,1.0
B11-e003Coalescence-mGAM-p3,0.75,1.0
C4-e003Coalescence-mBHI-inoculumn-redo,0.75,1.0
B5-e003Assembly-mBHI-p5,0.75,1.0
D2-e003Coalescence-mBHI-p5,0.75,1.0
D8-e003Assembly-mGAM-p5,0.0,0.75
D5-e003Coalescence-mGAM-p5,0.75,1.0
B5-e003Coalescence-mBHI-p5,0.75,0.75
D5-e003Coalescence-mBHI-p7,0.75,0.75
C9-e003Coalescence-mBHI-p5,0.25,1.0
A5-e003Coalescence-mGAM-p3,0.75,1.0
A2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
E5-e004Assembly-mGAM-p5,0.0,1.0
D8-e003Coalescence-mGAM-p5,0.75,1.0
A12-e003Coalescence-mGAM-p3,0.5,0.75
C2-e003Coalescence-mBHI-p3,0.5,0.75
C4-e004Assembly-mBHI-p5,0.0,0.25
D9-e003Coalescence-mGAM-p7,0.75,1.0
D4-e003Coalescence-mBHI-p7,0.75,1.0
D8-e003Assembly-mGAM-p3,0.0,0.0
E4-e004Assembly-mGAM-p7,0.25,1.0
E3-e004Assembly-mGAM-p3,0.25,0.75
D2-e004Assembly-mGAM-p3,0.0,1.0
B10-e003Coalescence-mGAM-p3,0.75,1.0
A9-e003Coalescence-mGAM-p7,0.75,1.0
D5-e004Assembly-mGAM-p5,0.0,1.0
B5-e003Coalescence-Inoculumn-mGAM,0.75,1.0
D10-e003Coalescence-mBHI-p5,0.75,1.0
D5-e003Coalescence-mBHI-p3,0.25,1.0
