,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,6,4
C9-e003Coalescence-mGAM-p3,12,8
D2-e004Assembly-mGAM-p7,12,8
B5-e004Assembly-mBHI-p3,3,1
C11-e003Coalescence-mBHI-p3,9,7
D11-e003Coalescence-mBHI-p5,12,8
C9-e003Coalescence-mGAM-p7,12,8
C8-e003Coalescence-mGAM-p7,12,8
D10-e003Coalescence-mBHI-p3,12,8
B2-e003Coalescence-mBHI-p3,12,8
A8-e003Coalescence-mBHI-p3,12,8
A4-e003Coalescence-mBHI-p7,12,5
B9-e003Coalescence-mGAM-p5,12,8
A4-e003Coalescence-mBHI-inoculumn-redo,12,8
B3-e003Coalescence-mBHI-p3,12,8
D4-e003Coalescence-mBHI-p5,6,5
B5-e004Assembly-mBHI-p7,12,6
D4-e003Coalescence-mBHI-p3,10,2
C4-e003GlycerolRevival-mBHI-p2,12,8
G5-e004Assembly-epsilon-p3,12,6
C5-e004Assembly-mBHI-p3,4,1
D10-e003Assembly-mGAM-p5,12,8
B2-e003Assembly-mBHI-p5,7,2
B2-e003Coalescence-mBHI-p5,4,3
B8-e003Assembly-mGAM-p5,8,2
F4-e004Assembly-epsilon-p5,9,7
C4-e003Coalescence-mGAM-p7,12,8
B12-e003Coalescence-mBHI-p3,7,2
e004-inoculumn-fecal-AK,12,8
C8-e003Assembly-mGAM-p3,8,4
C3-e003Coalescence-mGAM-p3,12,8
B4-e003Assembly-mBHI-p5,6,8
D4-e004Assembly-mGAM-p5,12,4
D3-e003Coalescence-Inoculumn-mBHI,12,8
C8-e003Assembly-mGAM-p5,6,6
C3-e003Coalescence-mBHI-p7,10,8
D11-e003Coalescence-mGAM-p5,12,8
A11-e003Coalescence-mGAM-p7,12,8
B8-e003Coalescence-mBHI-p5,12,8
B10-e003Assembly-mGAM-p5,12,8
C2-e003Coalescence-mGAM-p7,12,8
D3-e003Coalescence-mBHI-p5,11,8
B11-e003Coalescence-mGAM-p3,12,8
C4-e003Coalescence-mBHI-inoculumn-redo,12,8
B5-e003Assembly-mBHI-p5,10,8
D2-e003Coalescence-mBHI-p5,12,6
D8-e003Assembly-mGAM-p5,10,2
D5-e003Coalescence-mGAM-p5,12,8
B5-e003Coalescence-mBHI-p5,11,7
D5-e003Coalescence-mBHI-p7,12,8
C9-e003Coalescence-mBHI-p5,9,8
A5-e003Coalescence-mGAM-p3,12,8
A2-e003Coalescence-Inoculumn-mGAM,11,8
E5-e004Assembly-mGAM-p5,12,7
D8-e003Coalescence-mGAM-p5,12,8
A12-e003Coalescence-mGAM-p3,11,8
C2-e003Coalescence-mBHI-p3,1,2
C4-e004Assembly-mBHI-p5,7,5
D9-e003Coalescence-mGAM-p7,12,8
D4-e003Coalescence-mBHI-p7,12,8
D8-e003Assembly-mGAM-p3,3,2
E4-e004Assembly-mGAM-p7,12,4
E3-e004Assembly-mGAM-p3,12,8
D2-e004Assembly-mGAM-p3,12,8
B10-e003Coalescence-mGAM-p3,12,8
A9-e003Coalescence-mGAM-p7,11,8
D5-e004Assembly-mGAM-p5,9,3
B5-e003Coalescence-Inoculumn-mGAM,12,8
D10-e003Coalescence-mBHI-p5,12,8
D5-e003Coalescence-mBHI-p3,12,8
D9-e003Coalescence-mGAM-p5,12,8
C9-e003Coalescence-mBHI-p3,12,8
D10-e003Coalescence-mGAM-p5,12,8
C8-e003Coalescence-mBHI-p7,11,6
B11-e003Assembly-mGAM-p5,11,8
B4-e003Coalescence-mGAM-p5,12,8
D4-e003Coalescence-mGAM-p5,12,8
B5-e003Coalescence-mGAM-p5,12,8
BB-Fecal,10,7
B5-e003Coalescence-Inoculumn-mBHI,10,8
C2-e003Coalescence-mGAM-p3,12,8
B5-e003Coalescence-mGAM-p7,12,8
D8-e003Coalescence-mBHI-p5,12,8
E5-e004Assembly-mGAM-p7,12,7
C10-e003Assembly-mGAM-p3,12,4
B10-e003Coalescence-mBHI-p5,12,8
D5-e003Coalescence-Inoculumn-mGAM,12,8
B5-e003Coalescence-mBHI-p3,11,6
G4-e004Assembly-epsilon-p5,12,8
C4-e003Coalescence-mGAM-p5,12,8
C5-e003Coalescence-mGAM-p7,12,8
C5-e003Coalescence-mBHI-inoculumn-redo,12,8
A2-e003Coalescence-mBHI-p7,3,3
A10-e003Coalescence-mBHI-p5,6,4
BF-Fecal,5,4
A4-e003Coalescence-mGAM-p5,12,8
D5-e003Coalescence-mBHI-p5,12,8
D3-e003Assembly-mBHI-p3,11,0
D4-e003Coalescence-mGAM-p7,12,8
E4-e004Assembly-mGAM-p3,12,4
A8-e003Coalescence-mBHI-p7,12,8
e003-inoculumn-fecal-AC,6,0
E3-e004Assembly-mGAM-p7,12,8
B9-e003GlycerolRevival-mGAM-p2,12,8
C4-e003Coalescence-mGAM-p3,12,8
B2-e003Coalescence-Inoculumn-mGAM,12,8
D5-e003Coalescence-mGAM-p7,8,8
C5-e003Coalescence-mBHI-p5,11,8
C5-e003Coalescence-mGAM-p3,12,8
A3-e003Coalescence-mBHI-inoculumn-redo,7,0
D9-e003Assembly-mGAM-p5,12,8
B12-e003Coalescence-mGAM-p3,12,8
A11-e003Coalescence-mBHI-p7,10,7
A3-e003Coalescence-Inoculumn-mGAM,12,8
D10-e003Assembly-mGAM-p3,12,8
C3-e003Coalescence-mGAM-p5,12,8
B4-e004Assembly-mBHI-p5,6,2
C10-e003GlycerolRevival-mGAM-p2,12,8
D3-e003Assembly-mBHI-p5,12,8
A10-e003Coalescence-mGAM-p3,12,8
A9-e003Coalescence-mBHI-p3,12,8
A2-e003Coalescence-Inoculumn-mBHI,12,8
D3-e003Coalescence-mBHI-p7,12,8
C3-e003Coalescence-mBHI-p5,12,8
D11-e003Assembly-mGAM-p3,12,8
D2-e003Assembly-mBHI-p3,12,8
B3-e003Assembly-mBHI-p5,2,3
A9-e003Coalescence-mBHI-p5,11,4
D5-e003Coalescence-Inoculumn-mBHI,12,8
B2-e003Coalescence-mGAM-p3,12,8
C11-e003Coalescence-mGAM-p5,12,8
G4-e004Assembly-epsilon-p3,10,6
B3-e003Coalescence-Inoculumn-mBHI,11,6
A8-e003Coalescence-mBHI-p5,12,7
D5-e004Assembly-mGAM-p7,11,7
C2-e003Assembly-mBHI-p5,7,4
D5-e003Assembly-mBHI-p5,7,8
A5-e003Coalescence-mBHI-p7,10,8
BG-Fecal,11,6
D2-e003Coalescence-mGAM-p5,12,7
B9-e003Assembly-mGAM-p5,12,8
D3-e003Coalescence-mGAM-p3,12,8
D9-e003Coalescence-mGAM-p3,12,8
E2-e004Assembly-mGAM-p7,12,8
D3-e003Coalescence-mGAM-p5,12,8
C10-e003Coalescence-mGAM-p3,12,8
A5-e003Coalescence-mBHI-inoculumn-redo,12,8
B11-e003Assembly-mGAM-p3,11,8
D2-e003Assembly-mBHI-p5,6,8
B9-e003Coalescence-mGAM-p7,12,8
B11-e003Coalescence-mGAM-p7,12,8
C3-e003Coalescence-Inoculumn-mGAM,12,8
B5-e003Coalescence-mBHI-p7,12,8
A3-e003Coalescence-mGAM-p7,12,8
D4-e003Coalescence-Inoculumn-mBHI,12,8
D10-e003Coalescence-mGAM-p7,12,8
C12-e003Coalescence-mGAM-p3,12,8
C11-e003Coalescence-mGAM-p3,12,8
D5-e004Assembly-mGAM-p3,12,7
A10-e003Coalescence-mBHI-p7,7,4
C10-e003Coalescence-mBHI-p7,12,8
B9-e003Coalescence-mBHI-p5,12,8
F4-e004Assembly-epsilon-p3,10,4
B10-e003Coalescence-mBHI-p3,12,4
C11-e003Coalescence-mBHI-p5,12,8
A2-e003Coalescence-mGAM-p7,12,8
F5-e004Assembly-epsilon-p3,8,0
E3-e004Assembly-mGAM-p5,12,8
E2-e004Assembly-mGAM-p5,12,8
C3-e003GlycerolRevival-mBHI-p2,12,5
D10-e003Coalescence-mGAM-p3,12,8
B10-e003Coalescence-mGAM-p7,12,8
C4-e004Assembly-mBHI-p3,9,4
A9-e003Coalescence-mBHI-p7,12,8
C2-e003Coalescence-Inoculumn-mGAM,12,8
B3-e003Coalescence-Inoculumn-mGAM,12,8
D11-e003Coalescence-mGAM-p7,12,8
D5-e003Coalescence-mGAM-p3,12,8
D4-e004Assembly-mGAM-p3,11,5
E4-e004Assembly-mGAM-p5,12,4
E5-e004Assembly-mGAM-p3,12,7
D2-e003Coalescence-Inoculumn-mBHI,11,8
B4-e003Coalescence-Inoculumn-mGAM,12,8
A10-e003Coalescence-mGAM-p7,12,8
B2-e003Assembly-mBHI-p3,10,7
F4-e004Assembly-epsilon-p7,11,8
D9-e003Coalescence-mBHI-p5,12,8
C4-e003Coalescence-Inoculumn-mGAM,12,8
D4-e003Coalescence-mGAM-p3,12,8
B9-e003Coalescence-mBHI-p7,12,8
A2-e003Coalescence-mGAM-p5,12,8
D11-e003Assembly-mGAM-p5,12,8
C3-e003Coalescence-mGAM-p7,12,8
B11-e003GlycerolRevival-mGAM-p2,12,8
C5-e004Assembly-mBHI-p7,9,0
