,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C3-e003Coalescence-mGAM-p5,0.25,0.0
B4-e004Assembly-mBHI-p5,0.5,0.0
C10-e003GlycerolRevival-mGAM-p2,0.25,0.0
D3-e003Assembly-mBHI-p5,0.3,0.0
A10-e003Coalescence-mGAM-p3,0.25,0.0
A9-e003Coalescence-mBHI-p3,0.23375,0.0
A2-e003Coalescence-Inoculumn-mBHI,0.8977499999999999,0.17325000000000002
D3-e003Coalescence-mBHI-p7,0.25,0.0
C3-e003Coalescence-mBHI-p5,0.25,0.0
D11-e003Assembly-mGAM-p3,0.0,0.0
D2-e003Assembly-mBHI-p3,0.9117500000000001,0.0715
B3-e003Assembly-mBHI-p5,0.25,0.0
A9-e003Coalescence-mBHI-p5,0.173,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.25,0.0
B2-e003Coalescence-mGAM-p3,0.361,0.0
C11-e003Coalescence-mGAM-p5,0.25,0.0
G4-e004Assembly-epsilon-p3,1.0,0.0
B3-e003Coalescence-Inoculumn-mBHI,0.25,0.0
A8-e003Coalescence-mBHI-p5,1.0,0.93325
D5-e004Assembly-mGAM-p7,0.9377500000000001,0.0
C2-e003Assembly-mBHI-p5,0.75,0.0
D5-e003Assembly-mBHI-p5,0.0,0.0
A5-e003Coalescence-mBHI-p7,0.25,0.0
BG-Fecal,0.5,0.0
D2-e003Coalescence-mGAM-p5,0.25,0.0
B9-e003Assembly-mGAM-p5,0.1945,0.0
D3-e003Coalescence-mGAM-p3,0.25,0.0
D9-e003Coalescence-mGAM-p3,0.25,0.0
E2-e004Assembly-mGAM-p7,0.75,0.0
D3-e003Coalescence-mGAM-p5,0.25,0.0
C10-e003Coalescence-mGAM-p3,0.25,0.0
A5-e003Coalescence-mBHI-inoculumn-redo,0.577,0.0
B11-e003Assembly-mGAM-p3,0.25,0.0
D2-e003Assembly-mBHI-p5,0.5,0.0
B9-e003Coalescence-mGAM-p7,0.25,0.0
B11-e003Coalescence-mGAM-p7,0.216,0.0
C3-e003Coalescence-Inoculumn-mGAM,0.24075,0.0
B5-e003Coalescence-mBHI-p7,0.25,0.0
A3-e003Coalescence-mGAM-p7,0.25,0.0
D4-e003Coalescence-Inoculumn-mBHI,0.25,0.0
D10-e003Coalescence-mGAM-p7,0.25,0.0
C12-e003Coalescence-mGAM-p3,0.25,0.0
C11-e003Coalescence-mGAM-p3,0.25,0.0
D5-e004Assembly-mGAM-p3,0.867,0.0
A10-e003Coalescence-mBHI-p7,0.25,0.0715
C10-e003Coalescence-mBHI-p7,0.25,0.0
B9-e003Coalescence-mBHI-p5,0.25,0.0
F4-e004Assembly-epsilon-p3,0.75,0.0
B10-e003Coalescence-mBHI-p3,0.25,0.0
C11-e003Coalescence-mBHI-p5,0.25,0.0
A2-e003Coalescence-mGAM-p7,0.905,0.2875
F5-e004Assembly-epsilon-p3,0.0,0.0
E3-e004Assembly-mGAM-p5,0.75,0.0
E2-e004Assembly-mGAM-p5,0.75,0.0
C3-e003GlycerolRevival-mBHI-p2,0.25,0.0
D10-e003Coalescence-mGAM-p3,0.25,0.0
B10-e003Coalescence-mGAM-p7,0.25,0.0
C4-e004Assembly-mBHI-p3,0.75,0.0
A9-e003Coalescence-mBHI-p7,0.20600000000000002,0.0
C2-e003Coalescence-Inoculumn-mGAM,0.39075000000000004,0.29300000000000004
B3-e003Coalescence-Inoculumn-mGAM,0.23825,0.0
D11-e003Coalescence-mGAM-p7,0.25,0.0
D5-e003Coalescence-mGAM-p3,0.25,0.0
D4-e004Assembly-mGAM-p3,0.75,0.0
E4-e004Assembly-mGAM-p5,0.75,0.0
E5-e004Assembly-mGAM-p3,1.0,0.0
D2-e003Coalescence-Inoculumn-mBHI,0.38625,0.0
B4-e003Coalescence-Inoculumn-mGAM,0.24425,0.0
A10-e003Coalescence-mGAM-p7,0.24575,0.0
B2-e003Assembly-mBHI-p3,0.6880000000000001,0.0
F4-e004Assembly-epsilon-p7,0.897,0.0
D9-e003Coalescence-mBHI-p5,0.25,0.0
C4-e003Coalescence-Inoculumn-mGAM,0.25,0.0
D4-e003Coalescence-mGAM-p3,0.25,0.0
B9-e003Coalescence-mBHI-p7,0.25,0.0
A2-e003Coalescence-mGAM-p5,1.0,0.2115
D11-e003Assembly-mGAM-p5,0.25,0.0
C3-e003Coalescence-mGAM-p7,0.253,0.001
B11-e003GlycerolRevival-mGAM-p2,0.25,0.0
C5-e004Assembly-mBHI-p7,0.0,0.0
B3-e003Coalescence-mGAM-p5,0.2195,0.0
D9-e003Coalescence-mBHI-p7,0.25,0.0
G5-e004Assembly-epsilon-p5,0.859,0.0
B10-e003Assembly-mGAM-p3,0.25,0.0
C5-e003Coalescence-mBHI-p7,0.25,0.0
D12-e003Coalescence-mBHI-p3,0.0,0.0
E2-e004Assembly-mGAM-p3,0.0,0.0
D4-e004Assembly-mGAM-p7,0.75,0.0
C11-e003Coalescence-mGAM-p7,0.25,0.0
C11-e003Assembly-mGAM-p3,0.25,0.0
D10-e003Coalescence-mBHI-p7,0.25,0.0
C9-e003Coalescence-mBHI-p7,0.25,0.0
A2-e003Coalescence-mBHI-p3,1.0,0.25
B8-e003Coalescence-mGAM-p5,0.25,0.0
C11-e003Assembly-mGAM-p5,0.25,0.0
B10-e003GlycerolRevival-mGAM-p2,0.25,0.0
B3-e003Coalescence-mBHI-p5,0.25,0.0
C2-e003Coalescence-mBHI-inoculumn-redo,0.59975,0.13675
A8-e003Coalescence-mGAM-p7,0.8442500000000001,1.0
C11-e003GlycerolRevival-mGAM-p2,0.25,0.0
B2-e003Coalescence-Inoculumn-mBHI,0.65575,0.203
A11-e003Coalescence-mBHI-p5,0.346,0.0
C10-e003Coalescence-mGAM-p5,0.25,0.0
C9-e003Assembly-mGAM-p5,0.25,0.0
