,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,0.46799999999999997,0.594
A4-e003Coalescence-mBHI-p3,0.238,0.864
A4-e003Coalescence-mBHI-p5,0.473,0.768
A4-e003Coalescence-mBHI-p7,0.575,0.6679999999999999
A4-e003Coalescence-mGAM-p5,0.933,0.8694999999999999
C2-e003Coalescence-mBHI-inoculumn-redo,0.43500000000000005,0.623
C2-e003Coalescence-mBHI-p3,0.18600000000000005,0.904
C2-e003Coalescence-mBHI-p5,0.22299999999999998,0.866
C2-e003Coalescence-mBHI-p7,0.267,0.789
C2-e003Coalescence-mGAM-p3,0.17000000000000004,1.0
C2-e003Coalescence-mGAM-p5,0.26,1.0
C2-e003Coalescence-mGAM-p7,0.18300000000000005,0.973
E4-e003Coalescence-mBHI-p3_S11,0.31599999999999995,0.812
E4-e003Coalescence-mBHI-p5_S3,0.494,0.743
E4-e003Coalescence-mBHI-p7_S99,0.726,0.545
E4-e003Coalescence-mGAM-p3_S59,0.09899999999999998,1.0
E4-e003Coalescence-mGAM-p5_S51,0.862,0.9
E4-e003Coalescence-mGAM-p7_S147,0.885,0.793
G2-e003Coalescence-mBHI-p3_S33,0.21299999999999997,0.854
G2-e003Coalescence-mBHI-p5_S25,0.279,0.758
G2-e003Coalescence-mBHI-p7_S121,0.33299999999999996,0.718
G2-e003Coalescence-mGAM-p3_S81,0.123,0.969
G2-e003Coalescence-mGAM-p5_S73,0.44199999999999995,0.972
