,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mBHI,0.86,0.865
B4-e003Coalescence-mBHI-p3,0.768,0.879
B4-e003Coalescence-mBHI-p5,0.6,1.0
B4-e003Coalescence-mGAM-p5,0.5485,0.604
C3-e003Coalescence-mBHI-inoculumn-redo,0.883,0.889
C3-e003Coalescence-mBHI-p5,0.841,0.7030000000000001
C3-e003Coalescence-mBHI-p7,0.832,0.712
C3-e003Coalescence-mGAM-p3,0.736,0.744
C3-e003Coalescence-mGAM-p5,0.477,0.5589999999999999
C3-e003Coalescence-mGAM-p7,0.19499999999999995,0.91
F4-e003Coalescence-mBHI-p3_S23,0.787,0.88
F4-e003Coalescence-mBHI-p5_S15,0.64,0.752
F4-e003Coalescence-mBHI-p7_S111,0.5840000000000001,0.78
F4-e003Coalescence-mGAM-p3_S71,0.743,0.739
F4-e003Coalescence-mGAM-p5_S63,0.789,0.69
F4-e003Coalescence-mGAM-p7_S159,0.783,0.776
G3-e003Coalescence-mBHI-p3_S34,0.694,0.831
G3-e003Coalescence-mBHI-p5_S26,0.655,0.829
G3-e003Coalescence-mBHI-p7_S122,0.5529999999999999,0.855
G3-e003Coalescence-mGAM-p3_S82,0.961,0.931
G3-e003Coalescence-mGAM-p5_S74,0.707,0.378
