,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,0.897,0.383
A5-e003Coalescence-mBHI-inoculumn-redo,0.92,0.395
A5-e003Coalescence-mBHI-p3,1.0,0.786
A5-e003Coalescence-mBHI-p7,1.0,0.772
A5-e003Coalescence-mGAM-p3,1.0,0.7655000000000001
D2-e003Coalescence-Inoculumn-mBHI,0.859,0.409
D2-e003Coalescence-mBHI-p3,1.0,0.765
D2-e003Coalescence-mBHI-p5,1.0,0.819
D2-e003Coalescence-mBHI-p7,1.0,1.0
D2-e003Coalescence-mGAM-p5,1.0,0.648
E5-e003Coalescence-mBHI-p3_S12,0.98,0.81
E5-e003Coalescence-mBHI-p5_S4,1.0,0.833
E5-e003Coalescence-mBHI-p7_S100,0.963,0.712
E5-e003Coalescence-mGAM-p3_S60,1.0,0.72
E5-e003Coalescence-mGAM-p5_S52,1.0,0.605
E5-e003Coalescence-mGAM-p7_S148,1.0,0.525
H2-e003Coalescence-mBHI-p3_S45,1.0,0.8085
H2-e003Coalescence-mBHI-p7_S133,0.975,0.8095000000000001
H2-e003Coalescence-mGAM-p3_S93,1.0,0.765
H2-e003Coalescence-mGAM-p5_S85,1.0,0.7
H2-e003Coalescence-mGAM-p7_S181,1.0,0.7030000000000001
