,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,795832.0,1057807.0
B11-e003Coalescence-mGAM-p3,1277368.0,1751684.0
B11-e003Coalescence-mGAM-p7,181154.0,269984.0
B5-e003Coalescence-Inoculumn-mGAM,285433.0,401469.0
D3-e003Coalescence-Inoculumn-mGAM,202042.0,285524.0
D9-e003Coalescence-mBHI-p3,108085.0,145162.0
D9-e003Coalescence-mBHI-p5,654320.0,914305.0
D9-e003Coalescence-mBHI-p7,558667.0,808247.0
D9-e003Coalescence-mGAM-p3,332846.0,462002.0
D9-e003Coalescence-mGAM-p5,569064.0,836726.0
D9-e003Coalescence-mGAM-p7,546121.0,816866.0
F111-e003Coalescence-mBHI-p3_S120,684173.0,894378.0
F111-e003Coalescence-mBHI-p5_S20,306787.0,430868.0
F111-e003Coalescence-mBHI-p7_S116,595328.0,877929.0
F111-e003Coalescence-mGAM-p3_S168,247312.0,334752.0
F111-e003Coalescence-mGAM-p5_S68,158786.0,221315.0
F111-e003Coalescence-mGAM-p7_S164,224956.0,312953.0
H9-e003Coalescence-mBHI-p5_S42,957334.0,1302501.0
H9-e003Coalescence-mBHI-p7_S138,450350.0,653963.0
H9-e003Coalescence-mGAM-p3_S190,93555.0,127811.0
H9-e003Coalescence-mGAM-p5_S90,283583.0,410924.0
H9-e003Coalescence-mGAM-p7_S186,440088.0,654764.0
