,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,0.667,0.303
A9-e003Coalescence-mBHI-p3,0.184,0.793
A9-e003Coalescence-mBHI-p5,0.11599999999999999,0.854
A9-e003Coalescence-mBHI-p7,0.044,0.946
A9-e003Coalescence-mGAM-p5,0.104,0.857
A9-e003Coalescence-mGAM-p7,0.125,0.833
B2-e003Coalescence-Inoculumn-mGAM,0.667,0.3
B8-e003Coalescence-mBHI-p5,0.082,0.893
B8-e003Coalescence-mBHI-p7,0.027,0.963
B8-e003Coalescence-mGAM-p5,0.069,0.904
B8-e003Coalescence-mGAM-p7,0.093,0.875
E9-e003Coalescence-mBHI-p5_S6,0.08,0.891
E9-e003Coalescence-mBHI-p7_S102,0.047,0.9299999999999999
E9-e003Coalescence-mGAM-p3_S154,0.169,0.792
E9-e003Coalescence-mGAM-p5_S54,0.0,0.875
F8-e003Coalescence-mBHI-p3_S117,0.091,0.882
F8-e003Coalescence-mBHI-p5_S17,0.045,0.9359999999999999
F8-e003Coalescence-mBHI-p7_S113,0.024,0.961
F8-e003Coalescence-mGAM-p5_S65,0.0,1.0
F8-e003Coalescence-mGAM-p7_S161,0.0,0.893
