,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,5,17
D5-e003Coalescence-Inoculumn-mGAM,5,17
B11-e003Coalescence-mBHI-p3,4,17
B11-e003Coalescence-mGAM-p3,5,17
B11-e003Coalescence-mGAM-p7,5,17
B5-e003Coalescence-Inoculumn-mGAM,5,17
D3-e003Coalescence-Inoculumn-mGAM,5,16
D9-e003Coalescence-mBHI-p3,2,16
D9-e003Coalescence-mBHI-p5,5,17
D9-e003Coalescence-mBHI-p7,5,17
D9-e003Coalescence-mGAM-p3,5,17
D9-e003Coalescence-mGAM-p5,5,17
D9-e003Coalescence-mGAM-p7,5,17
F111-e003Coalescence-mBHI-p3_S120,5,14
F111-e003Coalescence-mBHI-p5_S20,5,13
F111-e003Coalescence-mBHI-p7_S116,4,14
F111-e003Coalescence-mGAM-p3_S168,5,15
F111-e003Coalescence-mGAM-p5_S68,4,15
F111-e003Coalescence-mGAM-p7_S164,5,13
H9-e003Coalescence-mBHI-p5_S42,5,14
H9-e003Coalescence-mBHI-p7_S138,5,14
H9-e003Coalescence-mGAM-p3_S190,5,8
H9-e003Coalescence-mGAM-p5_S90,5,17
H9-e003Coalescence-mGAM-p7_S186,5,17
