,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-mBHI-inoculumn-redo,0.9999308197639101,9.874656321507052e-05
C4-e003Coalescence-mBHI-inoculumn-redo,0.0042536754387587725,0.951
A4-e003Coalescence-mBHI-inoculumn-redo,0.153,0.811
A4-e003Coalescence-mBHI-p3,0.0008909406921076124,0.9987557641700411
A4-e003Coalescence-mBHI-p5,9.456192108195214e-05,0.9998354102572689
A4-e003Coalescence-mBHI-p7,0.00020102399461552939,0.9996634611726474
A4-e003Coalescence-mGAM-p5,0.005310446150307721,0.005450096750822947
C2-e003Coalescence-mBHI-inoculumn-redo,0.14300000000000002,0.819
C2-e003Coalescence-mBHI-p3,0.0005666840750972745,0.999031962213333
C2-e003Coalescence-mBHI-p5,0.00019833342910995148,0.9996935985831525
C2-e003Coalescence-mGAM-p3,0.00026938550673812414,0.9996242809233583
C2-e003Coalescence-mGAM-p5,6.280255928369371e-05,0.9998642388424708
C2-e003Coalescence-mGAM-p7,1.6924396613801923e-05,0.9999443773638257
E4-e003Coalescence-mBHI-p3_S11,0.0008013251066904785,0.9989082945985162
E4-e003Coalescence-mBHI-p5_S3,0.000430103505855644,0.9992506848803219
E4-e003Coalescence-mBHI-p7_S99,0.000417718384427498,0.9991976368070197
E4-e003Coalescence-mGAM-p3_S59,0.00018168112591009997,0.9996520774966862
E4-e003Coalescence-mGAM-p5_S51,0.0002649837107956523,0.9993783554137606
E4-e003Coalescence-mGAM-p7_S147,3.5606398086023324e-05,0.9998726334179101
G2-e003Coalescence-mBHI-p3_S33,0.0034220184088493725,0.9958683324955202
G2-e003Coalescence-mBHI-p5_S25,0.0003437064773487752,0.9992078473310524
G2-e003Coalescence-mBHI-p7_S121,0.019092233232311538,0.9766607176906035
G2-e003Coalescence-mGAM-p3_S81,0.0002171548521195479,0.9994612655985387
G2-e003Coalescence-mGAM-p5_S73,9.333337840468306e-05,0.9997664928820769
