,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,12913,14614
D5-e003Coalescence-Inoculumn-mBHI,12913,14614
A5-e003Coalescence-Inoculumn-mBHI,11856,13296
A5-e003Coalescence-mBHI-inoculumn-redo,12855,14527
A5-e003Coalescence-mBHI-p3,6901,7418
A5-e003Coalescence-mBHI-p7,12507,13997
A5-e003Coalescence-mGAM-p3,12823,14465
D2-e003Coalescence-Inoculumn-mBHI,12772,14466
D2-e003Coalescence-mBHI-p3,12867,14514
D2-e003Coalescence-mBHI-p5,12433,13955
D2-e003Coalescence-mGAM-p5,12898,14582
E5-e003Coalescence-mBHI-p3_S12,12690,14293
E5-e003Coalescence-mBHI-p5_S4,12702,14270
E5-e003Coalescence-mBHI-p7_S100,12633,14203
E5-e003Coalescence-mGAM-p3_S60,12762,14385
E5-e003Coalescence-mGAM-p5_S52,12745,14377
E5-e003Coalescence-mGAM-p7_S148,12853,14526
H2-e003Coalescence-mBHI-p3_S45,12865,14504
H2-e003Coalescence-mBHI-p7_S133,12725,14304
H2-e003Coalescence-mGAM-p3_S93,12716,14317
H2-e003Coalescence-mGAM-p5_S85,8922,9541
H2-e003Coalescence-mGAM-p7_S181,12898,14588
